"PC","Morph.pvalue.","Time.pvalue.","Sex.pvalue.","Morph.Time","Morph.Sex","Time.Sex","Morph.Time.Sex","Morph_pvalue_corrected","Time_pvalue_corrected","Sex_pvalue_corrected","MorphxTime_pvalue_corrected"
"PC1",0.0271488318835667,2.25385064959093e-30,0.969327915298201,0.39566682033065,0.231807454538883,0.472219192334949,0.220807941841993,1,1.05930980530774e-28,1,1
"PC2",0.0246256951665639,2.58563712853964e-09,0.997958098595763,0.408564490372475,0.981205503507661,0.300395304674155,0.667955081688668,1,1.21524945041363e-07,1,1
"PC3",0.00110564511300463,6.31945680578225e-05,0.822429443744051,0.00785161409213494,0.742748142920431,0.562910304175944,0.93523334550758,0.0519653203112175,0.00297014469871766,1,0.369025862330342
"PC4",2.08526401419535e-10,0.0208941192753467,0.989813955528318,0.554404927001103,0.886558935515886,0.980710489621005,0.892604730534656,9.80074086671817e-09,0.982023605941295,1,1
"PC5",0.991955460552442,0.977629203167366,0.926226782494924,0.999991264487776,0.906081110873379,0.985115636312599,0.970851089994579,1,1,1,1
"PC6",0.273636668088071,0.526237907787342,0.0938517652898169,0.456951888223655,0.318063296382322,0.0943362343818063,0.216611827267681,1,1,1,1
"PC7",0.00419240567095049,0.666680383475199,0.859767566906718,0.563114208443861,0.818596611589022,0.757955503501099,0.520694392868075,0.197043066534673,1,1,1
"PC8",0.00244165382108903,0.176005895358307,0.0812322575166089,0.0492405302114282,0.354659467386328,0.473517269585599,0.374439644186667,0.114757729591184,1,1,1
"PC9",0.285051498968829,0.0892573617884926,0.331927638853084,0.91669988464208,0.103780112896791,0.238301282513787,0.843780337616512,1,1,1,1
"PC10",0.000975826010917425,0.198640727362145,0.560549960019766,0.186213020816564,0.738134048457461,0.466215773056979,0.589228726347051,0.045863822513119,1,1,1
"PC11",0.147570895741256,0.551119960640158,0.367356885969956,0.437806065541176,0.0157686617001527,0.0399154130792631,0.306175632968999,1,1,1,1
"PC12",0.942544279000844,0.80109376103289,0.40579307275055,0.422466667742951,0.475406515833076,0.609994429133266,0.673232537074594,1,1,1,1
"PC13",0.19932351785914,0.922477229716049,0.883435232900802,0.921608366929292,0.0292111392500004,0.0530911638849782,0.0199038249612837,1,1,1,1
"PC14",0.593507925138756,0.230097211016844,0.0610037442409445,0.892787204224243,0.535315280337893,0.630208441279275,0.60855093555314,1,1,1,1
"PC15",0.370019235170066,0.998568051928229,0.361881274957355,0.654036043833842,0.319062042428098,0.933716668221391,0.0351009126803167,1,1,1,1
"PC16",0.785922286728958,0.813766200446694,0.854484599149292,0.987607973507337,0.847563570072835,0.281768258126895,0.928327961589811,1,1,1,1
"PC17",0.879705560939794,0.786884308757838,0.885602897391819,0.779207459466731,0.658336564107903,0.774103089193521,0.659915914341695,1,1,1,1
