Well,Sample,Target,Task,Amp Status,Ct,Ct Mean,Cq Confidence,Ct Standard Deviation,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Omit
A1,S1,actb,Unknown,Amp,13.168429,13.046179,0.97826004,0.1728884,true,0.07934601,true,3,9,81.3014,,,false
A2,S2,actb,Unknown,Amp,13.507352,13.4279995,0.99096006,0.11222121,true,0.07934601,true,3,10,81.3014,,,false
A3,S3,actb,Unknown,Amp,12.87198,12.81809,0.98818904,0.076210946,true,0.07934601,true,3,9,81.02112,,,false
A4,S4,actb,Unknown,Amp,13.843557,13.747833,0.972606,0.13537432,true,0.07934601,true,3,10,81.02112,,,false
A5,S5,actb,Unknown,Amp,13.836431,13.903971,0.9852316,0.0955169,true,0.07934601,true,3,10,81.44154,,,false
A6,S6,actb,Unknown,Amp,13.758638,13.702333,0.98831826,0.0796272,true,0.07934601,true,3,10,81.58168,,,false
A7,S7,actb,Unknown,Amp,12.624586,12.632,0.9839898,0.010484788,true,0.07934601,true,3,9,81.44154,,,false
A8,S8,actb,Unknown,Amp,12.483615,12.517687,0.9926144,0.048184976,true,0.07934601,true,3,9,81.58168,,,false
A9,S9,actb,Unknown,Amp,12.532483,12.500093,0.98556924,0.045805868,true,0.07934601,true,3,9,81.58168,,,false
A10,S10,actb,Unknown,Amp,12.927869,12.930125,0.9847719,0.003191022,true,0.07934601,true,3,9,81.72182,,,false
A11,S11,actb,Unknown,Amp,13.265549,13.238495,0.9845265,0.038259897,true,0.07934601,true,3,9,81.3014,,,false
A12,S12,actb,Unknown,Amp,13.068551,13.087775,0.99023193,0.027187077,true,0.07934601,true,3,9,81.44154,,,false
B1,S1,actb,Unknown,Amp,12.923928,13.046179,0.98680925,0.1728884,true,0.07934601,true,3,9,81.44154,,,false
B2,S2,actb,Unknown,Amp,13.348647,13.4279995,0.9844352,0.11222121,true,0.07934601,true,3,9,81.3014,,,false
B3,S3,actb,Unknown,Amp,12.764201,12.81809,0.9880618,0.076210946,true,0.07934601,true,3,9,81.16126,,,false
B4,S4,actb,Unknown,Amp,13.652109,13.747833,0.9836436,0.13537432,true,0.07934601,true,3,10,81.02112,,,false
B5,S5,actb,Unknown,Amp,13.971512,13.903971,0.98951125,0.0955169,true,0.07934601,true,3,10,81.44154,,,false
B6,S6,actb,Unknown,Amp,13.6460285,13.702333,0.9845714,0.0796272,true,0.07934601,true,3,10,81.44154,,,false
