Well,Sample,Target,Task,Amp Status,Ct,Ct Mean,Cq Confidence,Ct Standard Deviation,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Omit
A1,S25,actb,Unknown,Amp,14.21979,14.165498,0.9799313,0.076781444,true,0.09352905,true,3,10,81.572426,,,false
A2,S26,actb,Unknown,Amp,14.072526,14.031183,0.9822744,0.05846813,true,0.09352905,true,3,10,81.572426,,,false
A3,S27,actb,Unknown,Amp,13.712069,13.718981,0.98992807,0.009774697,true,0.09352905,true,3,9,81.43234,,,false
A4,S28,actb,Unknown,Amp,14.672479,14.625618,0.9818059,0.06627171,true,0.09352905,true,3,10,81.15218,,,false
A5,S29,actb,Unknown,Amp,14.855716,14.7416,0.9816336,0.16138467,true,0.09352905,true,3,11,81.71251,,,false
A6,S30,actb,Unknown,Amp,14.307643,14.375933,0.98751134,0.096575625,true,0.09352905,true,3,10,81.852585,,,false
A7,S31,actb,Unknown,Amp,14.191154,14.112104,0.9841397,0.111793,true,0.09352905,true,3,10,81.71251,,,false
A8,S32,actb,Unknown,Amp,13.774259,13.821525,0.9777832,0.066844225,true,0.09352905,true,3,9,81.71251,,,false
A9,S33,actb,Unknown,Amp,14.134132,14.12182,0.98356056,0.01741103,true,0.09352905,true,3,10,81.852585,,,false
A10,S34,actb,Unknown,Amp,14.571918,14.58028,0.9936002,0.011826742,true,0.09352905,true,3,10,81.852585,,,false
A11,S35,actb,Unknown,Amp,13.783912,13.787657,0.987924,0.005295667,true,0.09352905,true,3,9,81.71251,,,false
A12,S36,actb,Unknown,Amp,14.932909,14.903858,0.9897185,0.0410834,true,0.09352905,true,3,11,81.572426,,,false
B1,S25,actb,Unknown,Amp,14.111205,14.165498,0.98400444,0.076781444,true,0.09352905,true,3,10,81.572426,,,false
B2,S26,actb,Unknown,Amp,13.98984,14.031183,0.9903904,0.05846813,true,0.09352905,true,3,10,81.572426,,,false
B3,S27,actb,Unknown,Amp,13.725892,13.718981,0.9930943,0.009774697,true,0.09352905,true,3,10,81.43234,,,false
B4,S28,actb,Unknown,Amp,14.578756,14.625618,0.99004394,0.06627171,true,0.09352905,true,3,10,81.43234,,,false
B5,S29,actb,Unknown,Amp,14.627483,14.7416,0.9755408,0.16138467,true,0.09352905,true,3,10,81.852585,,,false
B6,S30,actb,Unknown,Amp,14.4442215,14.375933,0.98782444,0.096575625,true,0.09352905,true,3,10,81.852585,,,false
B7,S31,actb,Unknown,Amp,14.033054,14.112104,0.9853288,0.111793,true,0.09352905,true,3,10,81.71251,,,false
B8,S32,actb,Unknown,Amp,13.868791,13.821525,0.99341303,0.066844225,true,0.09352905,true,3,10,81.71251,,,false
B9,S33,actb,Unknown,Amp,14.109509,14.12182,0.9887086,0.01741103,true,0.09352905,true,3,10,81.852585,,,false
B10,S34,actb,Unknown,Amp,14.588643,14.58028,0.9906815,0.011826742,true,0.09352905,true,3,10,81.852585,,,false
B11,S35,actb,Unknown,Amp,13.791401,13.787657,0.99294966,0.005295667,true,0.09352905,true,3,10,81.71251,,,false
B12,S36,actb,Unknown,Amp,14.874808,14.903858,0.989029,0.0410834,true,0.09352905,true,3,11,81.572426,,,false
C1,S25,Ub2l3,Unknown,Amp,18.263733,18.230904,0.93828607,0.04642627,true,0.09731181,true,3,14,80.872025,,,false
C2,S26,Ub2l3,Unknown,Amp,17.962488,17.968395,0.95083165,0.008355191,true,0.09731181,true,3,14,80.73194,,,false
C3,S27,Ub2l3,Unknown,Amp,17.86008,17.809477,0.95154166,0.071564674,true,0.09731181,true,3,14,80.59186,,,false
C4,S28,Ub2l3,Unknown,Amp,18.785461,18.723095,0.97887886,0.08820088,true,0.09731181,true,3,14,80.59186,,,false
C5,S29,Ub2l3,Unknown,Amp,18.476236,18.489552,0.92524505,0.01882919,true,0.09731181,true,3,14,80.872025,,,false
C6,S30,Ub2l3,Unknown,Amp,18.66362,18.591152,0.9455865,0.1024836,true,0.09731181,true,3,14,80.872025,,,false
C7,S31,Ub2l3,Unknown,Amp,17.91957,17.946842,0.95966554,0.03856875,true,0.09731181,true,3,14,80.872025,,,false
C8,S32,Ub2l3,Unknown,Amp,17.77293,17.766745,0.96317315,0.008747662,true,0.09731181,true,3,13,80.872025,,,false
C9,S33,Ub2l3,Unknown,Amp,18.404156,25.704676,0.96275055,10.324494,true,0.09731181,true,3,14,81.0121,,,false
C10,S34,Ub2l3,Unknown,Amp,18.844826,24.750793,0.9480697,8.352301,true,0.09731181,true,3,14,81.0121,,,false
C11,S35,Ub2l3,Unknown,Amp,17.966255,17.966255,0.95684975,-,true,0.09731181,true,3,14,80.872025,,,false
C12,S36,Ub2l3,Unknown,Amp,18.825542,14.242708,0.9669179,6.481107,true,0.09731181,true,3,14,80.872025,,,false
D1,S25,Ub2l3,Unknown,Amp,18.198076,18.230904,0.9358927,0.04642627,true,0.09731181,true,3,14,80.73194,,,false
D2,S26,Ub2l3,Unknown,Amp,17.974304,17.968395,0.94807744,0.008355191,true,0.09731181,true,3,14,80.73194,,,false
D3,S27,Ub2l3,Unknown,Amp,17.758873,17.809477,0.95659035,0.071564674,true,0.09731181,true,3,13,80.59186,,,false
D4,S28,Ub2l3,Unknown,Amp,18.660727,18.723095,0.94702554,0.08820088,true,0.09731181,true,3,14,80.73194,,,false
D5,S29,Ub2l3,Unknown,Amp,18.502865,18.489552,0.9621866,0.01882919,true,0.09731181,true,3,14,80.872025,,,false
D6,S30,Ub2l3,Unknown,Amp,18.518686,18.591152,0.94041145,0.1024836,true,0.09731181,true,3,14,80.872025,,,false
D7,S31,Ub2l3,Unknown,Amp,17.974115,17.946842,0.9576398,0.03856875,true,0.09731181,true,3,14,80.872025,,,false
D8,S32,Ub2l3,Unknown,Amp,17.76056,17.766745,0.9737722,0.008747662,true,0.09731181,true,3,13,81.0121,,,false
D9,S33,Ub2l3,Unknown,No Amp,33.005196,25.704676,0.12749086,10.324494,true,0.09731181,true,3,28,74.98863,71.48662,68.54492,false
D10,S34,Ub2l3,Unknown,No Amp,30.656763,24.750793,0.012993094,8.352301,true,0.09731181,true,3,13,81.15218,60.56032,,false
D11,S35,Ub2l3,Unknown,No Amp,Undetermined,17.966255,0,-,true,0.09731181,true,3,20,72.60726,81.0121,89.27687,false
