Well,Sample,Target,Task,Amp Status,Ct,Ct Mean,Cq Confidence,Ct Standard Deviation,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Omit
A1,S13,actb,Unknown,Amp,14.186871,14.115012,0.9847617,0.10162313,true,0.09572562,true,3,10,81.83297,,,false
A2,S14,actb,Unknown,Amp,13.384616,13.340219,0.9864361,0.06278734,true,0.09572562,true,3,9,81.83297,,,false
A3,S15,actb,Unknown,Amp,13.296008,13.295409,0.98204535,8.4698305E-4,true,0.09572562,true,3,9,81.69392,,,false
A4,S16,actb,Unknown,Amp,14.002654,13.96985,0.9845496,0.046392553,true,0.09572562,true,3,10,81.4158,,,false
A5,S17,actb,Unknown,Amp,13.992997,13.969238,0.98610765,0.033599466,true,0.09572562,true,3,10,81.97203,,,false
A6,S18,actb,Unknown,Amp,14.558651,14.54311,0.98458767,0.021977726,true,0.09572562,true,3,10,81.83297,,,false
A7,S19,actb,Unknown,Amp,13.584903,13.577995,0.98966384,0.009767953,true,0.09572562,true,3,9,81.97203,,,false
A8,S20,actb,Unknown,Amp,13.102041,13.083575,0.9880959,0.026114862,true,0.09572562,true,3,9,81.97203,,,false
A9,S21,actb,Unknown,Amp,13.134517,13.122726,0.9913886,0.016674642,true,0.09572562,true,3,9,82.111084,,,false
A10,S22,actb,Unknown,Amp,13.976935,13.982979,0.9896672,0.008547381,true,0.09572562,true,3,10,82.111084,,,false
A11,S23,actb,Unknown,Amp,14.240435,14.332735,0.98828655,0.13053182,true,0.09572562,true,3,10,81.97203,,,false
A12,S24,actb,Unknown,Amp,13.732394,13.732014,0.9881194,5.38131E-4,true,0.09572562,true,3,9,81.83297,,,false
B1,S13,actb,Unknown,Amp,14.043154,14.115012,0.98732126,0.10162313,true,0.09572562,true,3,10,81.83297,,,false
B2,S14,actb,Unknown,Amp,13.295821,13.340219,0.9894424,0.06278734,true,0.09572562,true,3,9,81.83297,,,false
B3,S15,actb,Unknown,Amp,13.29481,13.295409,0.99035776,8.4698305E-4,true,0.09572562,true,3,9,81.69392,,,false
B4,S16,actb,Unknown,Amp,13.937045,13.96985,0.9933677,0.046392553,true,0.09572562,true,3,10,81.554855,,,false
B5,S17,actb,Unknown,Amp,13.94548,13.969238,0.9878741,0.033599466,true,0.09572562,true,3,10,81.97203,,,false
B6,S18,actb,Unknown,Amp,14.52757,14.54311,0.9888397,0.021977726,true,0.09572562,true,3,10,81.97203,,,false
B7,S19,actb,Unknown,Amp,13.571089,13.577995,0.9877153,0.009767953,true,0.09572562,true,3,9,81.97203,,,false
B8,S20,actb,Unknown,Amp,13.065109,13.083575,0.9908459,0.026114862,true,0.09572562,true,3,9,81.97203,,,false
B9,S21,actb,Unknown,Amp,13.110935,13.122726,0.9920487,0.016674642,true,0.09572562,true,3,9,82.111084,,,false
B10,S22,actb,Unknown,Amp,13.989023,13.982979,0.9928308,0.008547381,true,0.09572562,true,3,10,81.97203,,,false
B11,S23,actb,Unknown,Amp,14.4250345,14.332735,0.9880143,0.13053182,true,0.09572562,true,3,10,81.83297,,,false
B12,S24,actb,Unknown,Amp,13.731633,13.732014,0.991827,5.38131E-4,true,0.09572562,true,3,9,81.83297,,,false
C1,S13,Ub2l3,Unknown,Amp,18.910988,18.884125,0.95374477,0.037988808,true,0.08915208,true,3,15,80.72051,,,false
C2,S14,Ub2l3,Unknown,Amp,17.825262,17.831005,0.96655947,0.008120517,true,0.08915208,true,3,14,80.859566,,,false
C3,S15,Ub2l3,Unknown,Amp,17.998713,17.992294,0.9588643,0.009075397,true,0.08915208,true,3,14,80.58145,,,false
C4,S16,Ub2l3,Unknown,Amp,18.167145,18.15946,0.9616718,0.010867817,true,0.08915208,true,3,14,80.58145,,,false
C5,S17,Ub2l3,Unknown,Amp,18.1152,18.10297,0.9752374,0.017297067,true,0.08915208,true,3,14,80.99863,,,false
C6,S18,Ub2l3,Unknown,Amp,19.185616,19.202293,0.9542957,0.023584703,true,0.08915208,true,3,15,80.99863,,,false
C7,S19,Ub2l3,Unknown,Amp,18.199392,18.204317,0.9649517,0.006964683,true,0.08915208,true,3,14,80.859566,,,false
C8,S20,Ub2l3,Unknown,Amp,17.601025,17.490875,0.96023875,0.1557761,true,0.08915208,true,3,14,80.859566,,,false
C9,S21,Ub2l3,Unknown,Amp,17.400097,17.394001,0.9791784,0.008622234,true,0.08915208,true,3,13,80.99863,,,false
C10,S22,Ub2l3,Unknown,Amp,18.341219,18.36184,0.97543997,0.029161572,true,0.08915208,true,3,14,80.99863,,,false
C11,S23,Ub2l3,Unknown,Amp,19.07932,19.066523,0.96304595,0.018099543,true,0.08915208,true,3,15,80.72051,,,false
C12,S24,Ub2l3,Unknown,Amp,17.928648,17.926376,0.975337,0.003212601,true,0.08915208,true,3,14,80.72051,,,false
D1,S13,Ub2l3,Unknown,Amp,18.857264,18.884125,0.9528911,0.037988808,true,0.08915208,true,3,15,80.72051,,,false
D2,S14,Ub2l3,Unknown,Amp,17.836746,17.831005,0.9619128,0.008120517,true,0.08915208,true,3,14,80.72051,,,false
D3,S15,Ub2l3,Unknown,Amp,17.985878,17.992294,0.9660966,0.009075397,true,0.08915208,true,3,14,80.58145,,,false
D4,S16,Ub2l3,Unknown,Amp,18.151775,18.15946,0.96628994,0.010867817,true,0.08915208,true,3,14,80.72051,,,false
D5,S17,Ub2l3,Unknown,Amp,18.090738,18.10297,0.97387046,0.017297067,true,0.08915208,true,3,14,80.859566,,,false
