Well,Sample,Target,Task,Amp Status,Ct,Ct Mean,Cq Confidence,Ct Standard Deviation,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Omit
A1,S25,actb,Unknown,Amp,14.201123,14.151577,0.97736585,0.07006897,true,0.08332134,true,3,10,81.4133,,,false
A2,S26,actb,Unknown,No Amp,16.703335,15.345018,0,1.9209489,true,0.08332134,true,3,11,73.4879,91.2853,66.81387,false
A3,S27,actb,Unknown,Amp,14.1455765,13.927637,0.97387576,0.30821282,true,0.08332134,true,3,10,69.73376,,,false
A4,S28,actb,Unknown,No Amp,15.85008,15.143301,0.9739745,0.9995358,true,0.08332134,true,3,11,91.84147,78.63246,82.66469,false
A5,S29,actb,Unknown,No Amp,Undetermined,14.9424095,0,-,true,0.08332134,true,3,12,78.63246,83.77702,88.921585,false
A6,S30,actb,Unknown,No Amp,16.212877,15.32052,0.30039233,1.2619839,true,0.08332134,true,3,11,81.69139,62.92069,87.53116,false
A7,S31,actb,Unknown,No Amp,Undetermined,14.192001,0,-,true,0.08332134,true,3,11,85.16744,73.76598,88.22637,false
A8,S32,actb,Unknown,No Amp,Undetermined,13.834522,0,-,true,0.08332134,true,3,39,89.89488,72.09747,79.04958,false
A9,S33,actb,Unknown,Amp,14.609162,14.568573,0.97283834,0.05740266,true,0.08332134,true,3,10,81.69139,,,false
A10,S34,actb,Unknown,Amp,14.60843,14.608503,0.9881125,1.0384984E-4,true,0.08332134,true,3,10,81.83043,,,false
A11,S35,actb,Unknown,Amp,14.285443,14.21465,0.98306787,0.10011663,true,0.08332134,true,3,10,81.4133,,,false
A12,S36,actb,Unknown,Amp,14.790418,14.781359,0.98687273,0.012811967,true,0.08332134,true,3,11,81.552345,,,false
B1,S25,actb,Unknown,Amp,14.102031,14.151577,0.9806428,0.07006897,true,0.08332134,true,3,10,81.552345,,,false
B2,S26,actb,Unknown,Amp,13.986703,15.345018,0.9839446,1.9209489,true,0.08332134,true,3,10,81.552345,,,false
B3,S27,actb,Unknown,Amp,13.709698,13.927637,0.9873482,0.30821282,true,0.08332134,true,3,10,81.27426,,,false
B4,S28,actb,Unknown,Amp,14.4365225,15.143301,0.9849109,0.9995358,true,0.08332134,true,3,10,81.4133,,,false
B5,S29,actb,Unknown,Amp,14.9424095,14.9424095,0.97893506,-,true,0.08332134,true,3,11,77.7982,,,false
B6,S30,actb,Unknown,Amp,14.428163,15.32052,0.98519087,1.2619839,true,0.08332134,true,3,10,81.69139,,,false
B7,S31,actb,Unknown,Amp,14.192001,14.192001,0.9709043,-,true,0.08332134,true,3,10,79.883835,,,false
B8,S32,actb,Unknown,Amp,13.834522,13.834522,0.9899648,-,true,0.08332134,true,3,10,81.69139,,,false
B9,S33,actb,Unknown,Amp,14.527983,14.568573,0.9822624,0.05740266,true,0.08332134,true,3,10,81.83043,,,false
B10,S34,actb,Unknown,Amp,14.608577,14.608503,0.9896326,1.0384984E-4,true,0.08332134,true,3,11,81.83043,,,false
B11,S35,actb,Unknown,Amp,14.143857,14.21465,0.9853357,0.10011663,true,0.08332134,true,3,10,81.552345,,,false
B12,S36,actb,Unknown,Amp,14.772299,14.781359,0.9886686,0.012811967,true,0.08332134,true,3,11,81.552345,,,false
C1,S25,Ub2l3,Unknown,Amp,18.449602,18.466354,0.95488244,0.023692599,true,0.09974656,true,3,14,80.718094,,,false
C2,S26,Ub2l3,Unknown,Amp,18.163942,18.179953,0.9630517,0.02264196,true,0.09974656,true,3,14,80.718094,,,false
C3,S27,Ub2l3,Unknown,Amp,17.893002,17.87394,0.962276,0.02695645,true,0.09974656,true,3,13,80.57905,,,false
C4,S28,Ub2l3,Unknown,Amp,18.779705,18.77052,0.95873016,0.012992019,true,0.09974656,true,3,14,80.57905,,,false
C5,S29,Ub2l3,Unknown,Amp,18.724413,18.727879,0.94960535,0.004901173,true,0.09974656,true,3,14,80.85713,,,false
C6,S30,Ub2l3,Unknown,Amp,18.812742,18.804146,0.9538441,0.012158523,true,0.09974656,true,3,14,80.85713,,,false
C7,S31,Ub2l3,Unknown,Amp,18.096298,18.09999,0.971091,0.005222163,true,0.09974656,true,3,14,80.85713,,,false
C8,S32,Ub2l3,Unknown,Amp,17.981127,17.97316,0.9671114,0.011265684,true,0.09974656,true,3,14,80.718094,,,false
C9,S33,Ub2l3,Unknown,Amp,19.0897,19.074276,0.95157415,0.02181386,true,0.09974656,true,3,15,80.85713,,,false
C10,S34,Ub2l3,Unknown,Amp,19.138699,19.123913,0.95439506,0.02091158,true,0.09974656,true,3,15,80.85713,,,false
