Well,Sample,Target,Task,Amp Status,Ct,Ct Mean,Cq Confidence,Ct Standard Deviation,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Omit
A1,S13,actb,Unknown,Amp,14.20128,14.165229,0.9878486,0.050983526,true,0.0865757,true,3,10,81.84012,,,false
A2,S14,actb,Unknown,Amp,13.619291,13.649346,0.9658427,0.042504255,true,0.0865757,true,3,10,81.00011,,,false
A3,S15,actb,Unknown,Amp,13.3887005,13.324282,0.9897854,0.09110261,true,0.0865757,true,3,9,81.280106,,,false
A4,S16,actb,Unknown,No Amp,14.72089,14.323286,0.9764917,0.5622969,true,0.0865757,true,3,10,81.420105,90.240234,74.70001,false
A5,S17,actb,Unknown,Amp,14.150677,14.07226,0.9789357,0.11089814,true,0.0865757,true,3,10,81.56011,,,false
A6,S18,actb,Unknown,Amp,14.722527,14.703543,0.97778744,0.02684788,true,0.0865757,true,3,10,81.14011,,,false
A7,S19,actb,Unknown,Amp,13.883343,13.790312,0.9858118,0.13156493,true,0.0865757,true,3,10,81.56011,,,false
A8,S20,actb,Unknown,Amp,13.133974,13.073938,0.9872138,0.08490331,true,0.0865757,true,3,9,81.70011,,,false
A9,S21,actb,Unknown,Amp,13.2487545,13.1971035,0.99174035,0.07304622,true,0.0865757,true,3,9,81.70011,,,false
A10,S22,actb,Unknown,Amp,14.115313,14.09124,0.9843388,0.034044538,true,0.0865757,true,3,10,81.98012,,,false
A11,S23,actb,Unknown,Amp,14.684979,14.609387,0.9852447,0.10690329,true,0.0865757,true,3,11,81.70011,,,false
A12,S24,actb,Unknown,Amp,13.838224,13.790878,0.9890204,0.06695684,true,0.0865757,true,3,10,81.70011,,,false
B1,S13,actb,Unknown,Amp,14.129178,14.165229,0.97595984,0.050983526,true,0.0865757,true,3,10,81.70011,,,false
B2,S14,actb,Unknown,Amp,13.679401,13.649346,0.98143184,0.042504255,true,0.0865757,true,3,10,75.68002,,,false
B3,S15,actb,Unknown,Amp,13.259862,13.324282,0.9883315,0.09110261,true,0.0865757,true,3,9,81.56011,,,false
B4,S16,actb,Unknown,Amp,13.925682,14.323286,0.989127,0.5622969,true,0.0865757,true,3,10,81.420105,,,false
B5,S17,actb,Unknown,Amp,13.993843,14.07226,0.9892229,0.11089814,true,0.0865757,true,3,10,81.84012,,,false
B6,S18,actb,Unknown,Amp,14.684558,14.703543,0.98480505,0.02684788,true,0.0865757,true,3,10,80.440094,,,false
B7,S19,actb,Unknown,Amp,13.697282,13.790312,0.9910767,0.13156493,true,0.0865757,true,3,10,81.70011,,,false
