Well,Sample,Target,Task,Amp Status,Ct,Ct Mean,Cq Confidence,Ct Standard Deviation,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Omit
A1,S1,actb,Unknown,Amp,12.79597,12.5583515,0.9873766,0.3360439,true,0.066411115,true,3,9,81.710396,,,false
A2,S2,actb,Unknown,Amp,12.995729,12.948347,0.9864079,0.06700809,true,0.066411115,true,3,9,81.710396,,,false
A3,S3,actb,Unknown,Amp,12.19202,12.082434,0.98273766,0.15497902,true,0.066411115,true,3,9,81.57033,,,false
A4,S4,actb,Unknown,Amp,13.462944,13.336782,0.9882442,0.17841941,true,0.066411115,true,3,10,81.43025,,,false
A5,S5,actb,Unknown,Amp,13.354062,13.394476,0.98523,0.05715315,true,0.066411115,true,3,9,81.99054,,,false
A6,S6,actb,Unknown,Amp,13.339965,13.238184,0.9936552,0.14393924,true,0.066411115,true,3,10,81.99054,,,false
A7,S7,actb,Unknown,Amp,12.26411,12.423265,0.98817927,0.22507969,true,0.066411115,true,3,8,81.99054,,,false
A8,S8,actb,Unknown,Amp,11.979406,11.994665,0.98953027,0.021578511,true,0.066411115,true,3,8,81.99054,,,false
A9,S9,actb,Unknown,Amp,11.9508295,11.90723,0.9873059,0.06165848,true,0.066411115,true,3,8,82.13061,,,false
A10,S10,actb,Unknown,Amp,12.586658,12.393621,0.9890412,0.2729949,true,0.066411115,true,3,9,82.13061,,,false
A11,S11,actb,Unknown,Amp,12.909867,12.838098,0.9873925,0.1014977,true,0.066411115,true,3,9,81.850464,,,false
A12,S12,actb,Unknown,Amp,12.974845,12.846333,0.9854108,0.18174464,true,0.066411115,true,3,9,81.43025,,,false
B1,S1,actb,Unknown,Amp,12.320732,12.5583515,0.9879022,0.3360439,true,0.066411115,true,3,8,81.850464,,,false
B2,S2,actb,Unknown,Amp,12.900966,12.948347,0.9840687,0.06700809,true,0.066411115,true,3,9,81.710396,,,false
