Well,Sample,Target,Task,Amp Status,Ct,Ct Mean,Cq Confidence,Ct Standard Deviation,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Omit
A1,S1,actb,Unknown,Amp,12.76678,12.687738,0.98365057,0.11178221,true,0.058164626,true,3,9,81.685486,,,false
A2,S2,actb,Unknown,Amp,13.0235405,12.939578,0.98728734,0.11874082,true,0.058164626,true,3,9,81.546486,,,false
A3,S3,actb,Unknown,Amp,12.2162285,12.127918,0.98689884,0.124889545,true,0.058164626,true,3,9,81.407486,,,false
A4,S4,actb,Unknown,Amp,13.257911,13.178154,0.9857104,0.112793736,true,0.058164626,true,3,10,81.268486,,,false
A5,S5,actb,Unknown,Amp,13.562739,13.52371,0.9889103,0.055195514,true,0.058164626,true,3,10,81.82449,,,false
A6,S6,actb,Unknown,Amp,13.204014,13.242981,0.98078316,0.055107173,true,0.058164626,true,3,9,81.82449,,,false
A7,S7,actb,Unknown,Amp,12.382967,12.369806,0.98389,0.018611373,true,0.058164626,true,3,9,81.82449,,,false
A8,S8,actb,Unknown,Amp,11.986967,11.9340925,0.991093,0.07477593,true,0.058164626,true,3,8,81.82449,,,false
A9,S9,actb,Unknown,Amp,12.119998,12.045303,0.988884,0.10563349,true,0.058164626,true,3,9,81.82449,,,false
A10,S10,actb,Unknown,Amp,12.720674,12.61134,0.98615944,0.15462095,true,0.058164626,true,3,9,81.96349,,,false
A11,S11,actb,Unknown,Amp,12.967864,12.945105,0.9882875,0.032186706,true,0.058164626,true,3,9,81.685486,,,false
A12,S12,actb,Unknown,Amp,13.216037,13.05195,0.9817813,0.2320538,true,0.058164626,true,3,10,81.129486,,,false
B1,S1,actb,Unknown,Amp,12.608696,12.687738,0.9896186,0.11178221,true,0.058164626,true,3,9,81.685486,,,false
B2,S2,actb,Unknown,Amp,12.855616,12.939578,0.9873171,0.11874082,true,0.058164626,true,3,9,81.546486,,,false
B3,S3,actb,Unknown,Amp,12.039608,12.127918,0.985681,0.124889545,true,0.058164626,true,3,8,81.546486,,,false
B4,S4,actb,Unknown,Amp,13.098396,13.178154,0.984659,0.112793736,true,0.058164626,true,3,10,81.407486,,,false
B5,S5,actb,Unknown,Amp,13.484681,13.52371,0.987404,0.055195514,true,0.058164626,true,3,10,81.685486,,,false
B6,S6,actb,Unknown,Amp,13.281947,13.242981,0.9891971,0.055107173,true,0.058164626,true,3,10,81.82449,,,false
B7,S7,actb,Unknown,Amp,12.356647,12.369806,0.9851893,0.018611373,true,0.058164626,true,3,9,81.82449,,,false
B8,S8,actb,Unknown,Amp,11.881218,11.9340925,0.9881217,0.07477593,true,0.058164626,true,3,8,81.82449,,,false
B9,S9,actb,Unknown,Amp,11.97061,12.045303,0.9951434,0.10563349,true,0.058164626,true,3,8,81.82449,,,false
B10,S10,actb,Unknown,Amp,12.502007,12.61134,0.9898938,0.15462095,true,0.058164626,true,3,9,81.82449,,,false
B11,S11,actb,Unknown,Amp,12.922345,12.945105,0.9861988,0.032186706,true,0.058164626,true,3,9,81.546486,,,false
B12,S12,actb,Unknown,Amp,12.887863,13.05195,0.9813984,0.2320538,true,0.058164626,true,3,9,81.546486,,,false
C1,S1,Ub2l3,Unknown,Amp,17.892426,17.898567,0.97300565,0.008686971,true,0.064007394,true,3,14,80.43448,,,false
C2,S2,Ub2l3,Unknown,Amp,18.049906,18.063652,0.97004527,0.019438801,true,0.064007394,true,3,14,80.43448,,,false
C3,S3,Ub2l3,Unknown,Amp,17.392239,17.386494,0.9647247,0.008125912,true,0.064007394,true,3,14,80.29548,,,false
C4,S4,Ub2l3,Unknown,Amp,18.541729,18.425964,0.9677607,0.1637159,true,0.064007394,true,3,15,80.15648,,,false
C5,S5,Ub2l3,Unknown,Amp,18.38908,18.424007,0.9670823,0.049393408,true,0.064007394,true,3,15,80.57348,,,false
C6,S6,Ub2l3,Unknown,Amp,18.337034,18.333662,0.95898736,0.004769,true,0.064007394,true,3,15,80.57348,,,false
C7,S7,Ub2l3,Unknown,Amp,17.79141,17.816559,0.957373,0.035566546,true,0.064007394,true,3,14,80.57348,,,false
C8,S8,Ub2l3,Unknown,Amp,17.131313,17.172926,0.983805,0.058849137,true,0.064007394,true,3,13,80.43448,,,false
C9,S9,Ub2l3,Unknown,Amp,17.163338,17.212881,0.96488243,0.070064925,true,0.064007394,true,3,13,80.71248,,,false
C10,S10,Ub2l3,Unknown,Amp,17.700521,17.698387,0.9746718,0.00301704,true,0.064007394,true,3,14,80.57348,,,false
C11,S11,Ub2l3,Unknown,Amp,18.145624,18.050404,0.97025466,0.13466357,true,0.064007394,true,3,14,80.29548,,,false
C12,S12,Ub2l3,Unknown,Amp,17.867065,17.848886,0.9774125,0.025708903,true,0.064007394,true,3,14,80.29548,,,false
D1,S1,Ub2l3,Unknown,Amp,17.90471,17.898567,0.958241,0.008686971,true,0.064007394,true,3,14,80.43448,,,false
D2,S2,Ub2l3,Unknown,Amp,18.077396,18.063652,0.9588542,0.019438801,true,0.064007394,true,3,14,80.43448,,,false
D3,S3,Ub2l3,Unknown,Amp,17.380747,17.386494,0.974039,0.008125912,true,0.064007394,true,3,14,80.29548,,,false
D4,S4,Ub2l3,Unknown,Amp,18.3102,18.425964,0.960932,0.1637159,true,0.064007394,true,3,14,80.29548,,,false
D5,S5,Ub2l3,Unknown,Amp,18.458933,18.424007,0.9766925,0.049393408,true,0.064007394,true,3,15,80.43448,,,false
D6,S6,Ub2l3,Unknown,Amp,18.33029,18.333662,0.98217714,0.004769,true,0.064007394,true,3,15,80.57348,,,false
D7,S7,Ub2l3,Unknown,Amp,17.84171,17.816559,0.96009123,0.035566546,true,0.064007394,true,3,14,80.43448,,,false
D8,S8,Ub2l3,Unknown,Amp,17.214539,17.172926,0.9722246,0.058849137,true,0.064007394,true,3,14,80.43448,,,false
D9,S9,Ub2l3,Unknown,Amp,17.262424,17.212881,0.9618058,0.070064925,true,0.064007394,true,3,14,80.57348,,,false
D10,S10,Ub2l3,Unknown,Amp,17.696255,17.698387,0.9735243,0.00301704,true,0.064007394,true,3,14,80.57348,,,false
D11,S11,Ub2l3,Unknown,Amp,17.955181,18.050404,0.98269135,0.13466357,true,0.064007394,true,3,14,80.15648,,,false
D12,S12,Ub2l3,Unknown,Amp,17.830708,17.848886,0.9778949,0.025708903,true,0.064007394,true,3,14,80.29548,,,false
E1,S1,Nkx23-2,Unknown,Amp,28.441835,28.335026,0.9202707,0.15105161,true,0.06314084,true,3,25,85.71652,,,false
E2,S2,Nkx23-2,Unknown,Amp,28.076937,28.03543,0.93534184,0.058699433,true,0.06314084,true,3,24,85.71652,,,false
E3,S3,Nkx23-2,Unknown,Amp,27.136219,27.060799,0.8590299,0.10666052,true,0.06314084,true,3,23,85.71652,,,false
E4,S4,Nkx23-2,Unknown,Amp,27.712282,27.819288,0.92135537,0.15132944,true,0.06314084,true,3,24,85.57752,,,false
E5,S5,Nkx23-2,Unknown,Amp,29.294867,29.235315,0.9335171,0.08421817,true,0.06314084,true,3,25,85.85552,,,false
E6,S6,Nkx23-2,Unknown,Amp,28.024822,27.953085,0.9196218,0.101451844,true,0.06314084,true,3,24,85.85552,,,false
E7,S7,Nkx23-2,Unknown,Amp,27.026754,27.027071,0.8941332,4.477681E-4,true,0.06314084,true,3,23,85.71652,,,false
E8,S8,Nkx23-2,Unknown,Amp,27.168901,27.069517,0.886405,0.14055064,true,0.06314084,true,3,23,85.85552,,,false
E9,S9,Nkx23-2,Unknown,Amp,27.300205,27.395435,0.89287984,0.13467436,true,0.06314084,true,3,23,85.85552,,,false
