Well,Sample,Target,Task,Amp Status,Ct,Ct Mean,Cq Confidence,Ct Standard Deviation,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Omit
A1,S13,actb,Unknown,Amp,14.301994,14.140474,0.97785217,0.22842446,true,0.068799995,true,3,10,81.41695,,,false
A2,S14,actb,Unknown,Amp,13.0553255,12.9118,0.98137033,0.20297518,true,0.068799995,true,3,9,81.55693,,,false
A3,S15,actb,Unknown,Amp,13.427111,13.217765,0.9825866,0.2960597,true,0.068799995,true,3,10,81.41695,,,false
A4,S16,actb,Unknown,Amp,13.658728,13.5314045,0.9815212,0.18006213,true,0.068799995,true,3,10,81.41695,,,false
A5,S17,actb,Unknown,Amp,13.920733,13.888933,0.98921674,0.044972375,true,0.068799995,true,3,10,81.83691,,,false
A6,S18,actb,Unknown,Amp,14.520365,14.448972,0.9740157,0.10096497,true,0.068799995,true,3,11,81.69692,,,false
A7,S19,actb,Unknown,Amp,13.530337,13.463898,0.98549813,0.09395915,true,0.068799995,true,3,10,81.83691,,,false
A8,S20,actb,Unknown,Amp,13.028686,13.037939,0.9901315,0.013085754,true,0.068799995,true,3,9,81.69692,,,false
A9,S21,actb,Unknown,Amp,13.160461,13.057634,0.98301154,0.14541876,true,0.068799995,true,3,9,81.83691,,,false
A10,S22,actb,Unknown,Amp,13.968209,13.930349,0.9944053,0.053542007,true,0.068799995,true,3,10,81.83691,,,false
A11,S23,actb,Unknown,Amp,14.382557,14.309309,0.98245525,0.103588864,true,0.068799995,true,3,11,81.55693,,,false
A12,S24,actb,Unknown,Amp,14.001606,13.856312,0.9803371,0.20547701,true,0.068799995,true,3,10,81.27696,,,false
B1,S13,actb,Unknown,Amp,13.978953,14.140474,0.9851388,0.22842446,true,0.068799995,true,3,10,81.55693,,,false
B2,S14,actb,Unknown,Amp,12.768275,12.9118,0.9941456,0.20297518,true,0.068799995,true,3,9,81.69692,,,false
B3,S15,actb,Unknown,Amp,13.008419,13.217765,0.9838439,0.2960597,true,0.068799995,true,3,9,81.41695,,,false
B4,S16,actb,Unknown,Amp,13.404081,13.5314045,0.9858568,0.18006213,true,0.068799995,true,3,9,81.41695,,,false
B5,S17,actb,Unknown,Amp,13.857133,13.888933,0.9829666,0.044972375,true,0.068799995,true,3,10,81.69692,,,false
B6,S18,actb,Unknown,Amp,14.377579,14.448972,0.9860535,0.10096497,true,0.068799995,true,3,11,81.69692,,,false
B7,S19,actb,Unknown,Amp,13.397459,13.463898,0.9820353,0.09395915,true,0.068799995,true,3,10,81.83691,,,false
B8,S20,actb,Unknown,Amp,13.047192,13.037939,0.9864701,0.013085754,true,0.068799995,true,3,9,81.69692,,,false
B9,S21,actb,Unknown,Amp,12.954808,13.057634,0.9875942,0.14541876,true,0.068799995,true,3,9,81.83691,,,false
B10,S22,actb,Unknown,Amp,13.892489,13.930349,0.9874475,0.053542007,true,0.068799995,true,3,10,81.83691,,,false
B11,S23,actb,Unknown,Amp,14.23606,14.309309,0.9844254,0.103588864,true,0.068799995,true,3,10,81.55693,,,false
B12,S24,actb,Unknown,Amp,13.711018,13.856312,0.983279,0.20547701,true,0.068799995,true,3,10,81.55693,,,false
C1,S13,Ub2l3,Unknown,Amp,18.644892,18.593063,0.9532214,0.07329506,true,0.06536575,true,3,15,80.43704,,,false
C2,S14,Ub2l3,Unknown,Amp,17.562025,17.629425,0.97132736,0.095319316,true,0.06536575,true,3,14,80.43704,,,false
C3,S15,Ub2l3,Unknown,Amp,17.834753,17.85906,0.97776717,0.034375645,true,0.06536575,true,3,14,80.29706,,,false
C4,S16,Ub2l3,Unknown,Amp,17.793222,17.853931,0.9777018,0.08585414,true,0.06536575,true,3,14,80.43704,,,false
C5,S17,Ub2l3,Unknown,Amp,18.11777,18.121841,0.9748488,0.005760294,true,0.06536575,true,3,14,80.577034,,,false
C6,S18,Ub2l3,Unknown,Amp,19.224981,19.164085,0.96428114,0.08611849,true,0.06536575,true,3,16,80.71702,,,false
C7,S19,Ub2l3,Unknown,Amp,18.221136,18.242636,0.9815913,0.030405074,true,0.06536575,true,3,14,80.577034,,,false
C8,S20,Ub2l3,Unknown,Amp,17.406704,17.371449,0.9833993,0.049857363,true,0.06536575,true,3,14,80.577034,,,false
C9,S21,Ub2l3,Unknown,Amp,17.219986,17.281841,0.97888905,0.08747528,true,0.06536575,true,3,13,80.71702,,,false
C10,S22,Ub2l3,Unknown,Amp,18.488016,18.361336,0.9518855,0.17915176,true,0.06536575,true,3,15,80.71702,,,false
C11,S23,Ub2l3,Unknown,Amp,18.727352,18.754547,0.972331,0.038458157,true,0.06536575,true,3,15,80.43704,,,false
C12,S24,Ub2l3,Unknown,Amp,17.797808,17.618927,0.9848135,0.25297415,true,0.06536575,true,3,14,80.43704,,,false
D1,S13,Ub2l3,Unknown,Amp,18.541237,18.593063,0.9806588,0.07329506,true,0.06536575,true,3,15,80.43704,,,false
D2,S14,Ub2l3,Unknown,Amp,17.696827,17.629425,0.9848464,0.095319316,true,0.06536575,true,3,14,80.29706,,,false
D3,S15,Ub2l3,Unknown,Amp,17.883368,17.85906,0.97054964,0.034375645,true,0.06536575,true,3,14,80.29706,,,false
D4,S16,Ub2l3,Unknown,Amp,17.914639,17.853931,0.98088217,0.08585414,true,0.06536575,true,3,14,80.43704,,,false
D5,S17,Ub2l3,Unknown,Amp,18.125916,18.121841,0.9732477,0.005760294,true,0.06536575,true,3,14,80.577034,,,false
D6,S18,Ub2l3,Unknown,Amp,19.103191,19.164085,0.9761457,0.08611849,true,0.06536575,true,3,15,80.577034,,,false
D7,S19,Ub2l3,Unknown,Amp,18.264135,18.242636,0.97017384,0.030405074,true,0.06536575,true,3,14,80.577034,,,false
D8,S20,Ub2l3,Unknown,Amp,17.336195,17.371449,0.9853389,0.049857363,true,0.06536575,true,3,13,80.43704,,,false
D9,S21,Ub2l3,Unknown,Amp,17.343695,17.281841,0.97531486,0.08747528,true,0.06536575,true,3,13,80.71702,,,false
D10,S22,Ub2l3,Unknown,Amp,18.234657,18.361336,0.9848977,0.17915176,true,0.06536575,true,3,14,80.71702,,,false
D11,S23,Ub2l3,Unknown,Amp,18.78174,18.754547,0.977587,0.038458157,true,0.06536575,true,3,15,80.29706,,,false
D12,S24,Ub2l3,Unknown,Amp,17.440048,17.618927,0.9781638,0.25297415,true,0.06536575,true,3,14,80.857,,,false
E1,S13,Lmtk2,Unknown,Amp,25.069653,25.077,0.9191492,0.010390379,true,0.05004464,true,3,21,83.51674,,,false
E2,S14,Lmtk2,Unknown,Amp,23.329042,23.454681,0.8710843,0.17767897,true,0.05004464,true,3,20,83.376755,,,false
E3,S15,Lmtk2,Unknown,Amp,24.471035,24.431103,0.904458,0.05647273,true,0.05004464,true,3,21,83.376755,,,false
E4,S16,Lmtk2,Unknown,Amp,23.8043,23.979427,0.87171525,0.24766567,true,0.05004464,true,3,20,83.376755,,,false
E5,S17,Lmtk2,Unknown,Amp,24.52872,24.41222,0.82304835,0.16475844,true,0.05004464,true,3,21,83.65672,,,false
E6,S18,Lmtk2,Unknown,Amp,26.01598,25.976868,0.9059935,0.05531285,true,0.05004464,true,3,23,83.51674,,,false
E7,S19,Lmtk2,Unknown,Amp,24.341919,24.374641,0.8957404,0.046277914,true,0.05004464,true,3,21,83.51674,,,false
E8,S20,Lmtk2,Unknown,Amp,23.20287,23.242558,0.855356,0.056127463,true,0.05004464,true,3,20,83.65672,,,false
E9,S21,Lmtk2,Unknown,Amp,23.605783,23.736233,0.87356627,0.18448451,true,0.05004464,true,3,20,83.65672,,,false
E10,S22,Lmtk2,Unknown,Amp,24.597042,24.566872,0.9020188,0.042667445,true,0.05004464,true,3,21,83.65672,,,false
E11,S23,Lmtk2,Unknown,Amp,25.410604,25.402626,0.94289035,0.011284566,true,0.05004464,true,3,22,83.23676,,,false
E12,S24,Lmtk2,Unknown,Amp,23.552778,23.715736,0.86360216,0.23045626,true,0.05004464,true,3,20,83.376755,,,false
F1,S13,Lmtk2,Unknown,Amp,25.084347,25.077,0.91629505,0.010390379,true,0.05004464,true,3,22,83.376755,,,false
F2,S14,Lmtk2,Unknown,Amp,23.580318,23.454681,0.89014745,0.17767897,true,0.05004464,true,3,20,83.51674,,,false
F3,S15,Lmtk2,Unknown,Amp,24.39117,24.431103,0.9022888,0.05647273,true,0.05004464,true,3,21,83.51674,,,false
F4,S16,Lmtk2,Unknown,Amp,24.154552,23.979427,0.8967972,0.24766567,true,0.05004464,true,3,20,83.51674,,,false
F5,S17,Lmtk2,Unknown,Amp,24.295717,24.41222,0.91621596,0.16475844,true,0.05004464,true,3,21,83.65672,,,false
F6,S18,Lmtk2,Unknown,Amp,25.937756,25.976868,0.9540786,0.05531285,true,0.05004464,true,3,22,83.65672,,,false
F7,S19,Lmtk2,Unknown,Amp,24.407366,24.374641,0.9047727,0.046277914,true,0.05004464,true,3,21,83.65672,,,false
F8,S20,Lmtk2,Unknown,Amp,23.282246,23.242558,0.8759877,0.056127463,true,0.05004464,true,3,20,83.65672,,,false
F9,S21,Lmtk2,Unknown,Amp,23.866684,23.736233,0.8890235,0.18448451,true,0.05004464,true,3,20,83.65672,,,false
F10,S22,Lmtk2,Unknown,Amp,24.536701,24.566872,0.8968999,0.042667445,true,0.05004464,true,3,21,83.79671,,,false
F11,S23,Lmtk2,Unknown,Amp,25.394646,25.402626,0.9340801,0.011284566,true,0.05004464,true,3,22,83.376755,,,false
F12,S24,Lmtk2,Unknown,Amp,23.878693,23.715736,0.8820034,0.23045626,true,0.05004464,true,3,20,83.376755,,,false
G1,S13,HiH2A,Unknown,Amp,10.723947,10.853518,0.9207779,0.18324101,true,0.04624038,true,3,7,87.01639,,,false
G2,S14,HiH2A,Unknown,Amp,10.803587,11.081545,0.94668484,0.39309117,true,0.04624038,true,3,8,87.43634,,,false
G3,S15,HiH2A,Unknown,Amp,10.518544,10.525667,0.9641735,0.010074108,true,0.04624038,true,3,7,87.29636,,,false
G4,S16,HiH2A,Unknown,Amp,11.065737,11.161242,0.93101245,0.13506413,true,0.04624038,true,3,8,87.43634,,,false
G5,S17,HiH2A,Unknown,Amp,11.902129,11.954409,0.9311262,0.07393434,true,0.04624038,true,3,9,87.43634,,,false
G6,S18,HiH2A,Unknown,Amp,10.943541,10.96254,0.94532734,0.026868785,true,0.04624038,true,3,8,87.57633,,,false
G7,S19,HiH2A,Unknown,Amp,10.548904,10.562624,0.9544785,0.01940306,true,0.04624038,true,3,7,87.43634,,,false
G8,S20,HiH2A,Unknown,Amp,10.434953,10.467254,0.94309926,0.04568044,true,0.04624038,true,3,7,87.43634,,,false
G9,S21,HiH2A,Unknown,Amp,10.374069,10.269051,0.96288615,0.14851807,true,0.04624038,true,3,7,87.57633,,,false
G10,S22,HiH2A,Unknown,Amp,10.676948,10.6389475,0.95580894,0.053740267,true,0.04624038,true,3,7,87.71632,,,false
G11,S23,HiH2A,Unknown,Amp,11.093193,11.148413,0.9567202,0.07809238,true,0.04624038,true,3,8,87.15637,,,false
G12,S24,HiH2A,Unknown,Amp,11.375914,11.538769,0.9557711,0.23031263,true,0.04624038,true,3,8,87.29636,,,false
H1,S13,HiH2A,Unknown,Amp,10.9830885,10.853518,0.94817203,0.18324101,true,0.04624038,true,3,8,87.15637,,,false
H2,S14,HiH2A,Unknown,Amp,11.359502,11.081545,0.94330263,0.39309117,true,0.04624038,true,3,8,87.43634,,,false
H3,S15,HiH2A,Unknown,Amp,10.532791,10.525667,0.95531404,0.010074108,true,0.04624038,true,3,7,87.43634,,,false
H4,S16,HiH2A,Unknown,Amp,11.256746,11.161242,0.9497832,0.13506413,true,0.04624038,true,3,8,87.43634,,,false
H5,S17,HiH2A,Unknown,Amp,12.006688,11.954409,0.9506357,0.07393434,true,0.04624038,true,3,9,87.57633,,,false
H6,S18,HiH2A,Unknown,Amp,10.981539,10.96254,0.9561172,0.026868785,true,0.04624038,true,3,8,87.57633,,,false
H7,S19,HiH2A,Unknown,Amp,10.5763445,10.562624,0.96853805,0.01940306,true,0.04624038,true,3,7,87.57633,,,false
H8,S20,HiH2A,Unknown,Amp,10.499555,10.467254,0.93799275,0.04568044,true,0.04624038,true,3,7,87.43634,,,false
H9,S21,HiH2A,Unknown,Amp,10.164033,10.269051,0.9598671,0.14851807,true,0.04624038,true,3,7,87.71632,,,false
H10,S22,HiH2A,Unknown,Amp,10.600947,10.6389475,0.95599324,0.053740267,true,0.04624038,true,3,7,87.71632,,,false
H11,S23,HiH2A,Unknown,Amp,11.203632,11.148413,0.9509461,0.07809238,true,0.04624038,true,3,8,87.29636,,,false
H12,S24,HiH2A,Unknown,Amp,11.701625,11.538769,0.9618372,0.23031263,true,0.04624038,true,3,8,87.29636,,,false
