Well,Sample,Target,Task,Amp Status,Ct,Ct Mean,Cq Confidence,Ct Standard Deviation,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Omit
A1,S13,actb,Unknown,Amp,14.42607,14.205588,0.9815159,0.31180847,true,0.06458807,true,3,11,81.43768,,,false
A2,S14,actb,Unknown,Amp,13.365695,13.266952,0.98480815,0.13964431,true,0.06458807,true,3,10,81.43768,,,false
A3,S15,actb,Unknown,Amp,13.294385,13.299375,0.985137,0.007056394,true,0.06458807,true,3,10,81.29758,,,false
A4,S16,actb,Unknown,Amp,13.759144,13.660549,0.98696816,0.13943323,true,0.06458807,true,3,10,81.29758,,,false
A5,S17,actb,Unknown,Amp,13.707489,13.691106,0.99063396,0.023169303,true,0.06458807,true,3,10,81.7179,,,false
A6,S18,actb,Unknown,Amp,14.472197,14.442087,0.98509496,0.042580456,true,0.06458807,true,3,11,81.7179,,,false
A7,S19,actb,Unknown,Amp,13.502013,13.547075,0.9917155,0.06372671,true,0.06458807,true,3,10,81.7179,,,false
A8,S20,actb,Unknown,Amp,12.95168,12.917999,0.98834,0.04763201,true,0.06458807,true,3,9,81.7179,,,false
A9,S21,actb,Unknown,Amp,13.194331,13.107548,0.9921442,0.12273028,true,0.06458807,true,3,10,81.85802,,,false
A10,S22,actb,Unknown,Amp,13.937152,13.819185,0.98963326,0.16683072,true,0.06458807,true,3,10,81.7179,,,false
A11,S23,actb,Unknown,Amp,14.606306,14.5539055,0.99098605,0.07410562,true,0.06458807,true,3,11,81.5778,,,false
A12,S24,actb,Unknown,Amp,14.061795,13.93861,0.96878517,0.17420945,true,0.06458807,true,3,10,81.017365,,,false
B1,S13,actb,Unknown,Amp,13.985106,14.205588,0.9764623,0.31180847,true,0.06458807,true,3,10,81.5778,,,false
B2,S14,actb,Unknown,Amp,13.168208,13.266952,0.98966765,0.13964431,true,0.06458807,true,3,9,81.43768,,,false
B3,S15,actb,Unknown,Amp,13.304364,13.299375,0.9818397,0.007056394,true,0.06458807,true,3,10,81.43768,,,false
B4,S16,actb,Unknown,Amp,13.561955,13.660549,0.9856794,0.13943323,true,0.06458807,true,3,10,81.29758,,,false
B5,S17,actb,Unknown,Amp,13.674723,13.691106,0.992553,0.023169303,true,0.06458807,true,3,10,81.7179,,,false
B6,S18,actb,Unknown,Amp,14.411979,14.442087,0.9886526,0.042580456,true,0.06458807,true,3,11,81.7179,,,false
B7,S19,actb,Unknown,Amp,13.592136,13.547075,0.98850316,0.06372671,true,0.06458807,true,3,10,81.7179,,,false
B8,S20,actb,Unknown,Amp,12.884318,12.917999,0.9840696,0.04763201,true,0.06458807,true,3,9,81.5778,,,false
B9,S21,actb,Unknown,Amp,13.020764,13.107548,0.9821101,0.12273028,true,0.06458807,true,3,9,81.7179,,,false
B10,S22,actb,Unknown,Amp,13.701218,13.819185,0.98765075,0.16683072,true,0.06458807,true,3,10,81.7179,,,false
B11,S23,actb,Unknown,Amp,14.501505,14.5539055,0.9907233,0.07410562,true,0.06458807,true,3,11,81.5778,,,false
B12,S24,actb,Unknown,Amp,13.815426,13.93861,0.9855866,0.17420945,true,0.06458807,true,3,10,81.43768,,,false
C1,S13,Ub2l3,Unknown,Amp,18.520622,18.565735,0.97773135,0.063800216,true,0.05089751,true,3,15,80.31682,,,false
C2,S14,Ub2l3,Unknown,Amp,17.42927,17.44954,0.98344123,0.028665252,true,0.05089751,true,3,14,80.17671,,,false
C3,S15,Ub2l3,Unknown,Amp,17.904472,17.816818,0.9881724,0.123961635,true,0.05089751,true,3,14,80.17671,,,false
C4,S16,Ub2l3,Unknown,Amp,17.822876,17.828835,0.9876274,0.008426672,true,0.05089751,true,3,14,80.17671,,,false
C5,S17,Ub2l3,Unknown,Amp,17.776348,17.700783,0.9856349,0.106865525,true,0.05089751,true,3,14,80.456924,,,false
C6,S18,Ub2l3,Unknown,Amp,18.8331,18.932224,0.9902362,0.14018244,true,0.05089751,true,3,15,80.456924,,,false
C7,S19,Ub2l3,Unknown,Amp,17.657858,17.651628,0.9832966,0.008809703,true,0.05089751,true,3,14,80.456924,,,false
