"PC","Morph","Time","Sex","Morph X Time"
"PC1",0.0230416270028865,4.00908752149644e-30,0.94825387905625,0.421017184189652
"PC2",0.0238751203119215,4.58314998595748e-10,0.967882747983656,0.443020573863096
"PC3",0.00877780377582054,0.00304346491986893,0.663800163366227,0.0265925883647146
"PC4",2.65235344388858e-12,0.0311975339203485,0.999711762226864,0.604270880193226
"PC5",0.995355704109345,0.987983020851222,0.957158700827832,0.999998728254583
"PC6",0.280895032006115,0.53117101533197,0.0942595298581394,0.459868419118068
"PC7",0.00133171077603133,0.600578766122763,0.836263595742683,0.717936181730301
"PC8",0.0163520293056158,0.611405339231465,0.203939691201541,0.801714885323739
"PC9",0.178939717097207,0.0372098705538141,0.408534669047336,0.772552041361558
"PC10",0.000661338602930202,0.20382217687985,0.538106719779765,0.227572973258436
"PC11",0.0187255443046358,0.327049848825741,0.534024532838291,0.617184125985702
"PC12",0.951841225944632,0.719817234967613,0.375401442668863,0.419574766701956
"PC13",0.0598175262140368,0.774492414522497,0.848731520964497,0.848956871687485
"PC14",0.669104705984525,0.1941882098656,0.0570935922434852,0.812740726698609
"PC15",0.298479361677696,0.999958616763616,0.358600475293186,0.718770352050689
"PC16",0.772105508833746,0.859422526780524,0.783612833963748,0.988296137227088
"PC17",0.835438329504464,0.445514023350708,0.340197660055757,0.593900345134508
"PC18",0.868688230938735,0.989186149656184,0.192855425269664,0.699901995642673
"PC19",0.570012000925698,0.902845389509155,0.946051563265215,0.686744056696849
"PC20",0.245684955413331,0.404324641494322,0.547336109274184,0.632302925486954
"PC21",0.997651816568977,0.82406220564068,0.964981017883564,0.843062612672538
"PC22",0.383018853499047,0.8030894814284,0.590740745759085,0.871038311186463
"PC23",0.950476349589196,0.983505591689515,0.0441713041035585,0.169655377024253
"PC24",0.975651020624556,0.971038605832656,0.103556458056783,0.574781490695161
"PC25",0.994579522742495,0.858632146492182,0.0864892364909551,0.795554886989977
"PC26",0.846817325492,0.893531358510457,0.207739985347768,0.148868924545985
"PC27",0.978748910929703,0.922538299632004,0.289024717017549,0.545392426908341
"PC28",0.660667499860488,0.858938111355049,0.566150830631918,0.0193070920133819
"PC29",0.907028463397574,0.839572393662895,0.040006368953872,0.052520861874901
"PC30",0.918717389267986,0.97009901995372,0.768149995701425,0.694687742028716
"PC31",0.249684434445033,0.321542356528213,0.513074595801053,0.316708782330519
"PC32",0.94980682937196,0.977267696809156,0.534353434189254,0.479274731753544
"PC33",0.997759745790378,0.543147307853315,0.341536717983674,0.319760362343998
"PC34",0.205282865785786,0.992299529049948,0.748656777680012,0.0141748360660809
"PC35",0.844431435894165,0.973354304461463,0.344766679386341,0.371162753137519
"PC36",0.695082945184866,0.982938969981645,0.303027905855823,0.995236563387791
"PC37",0.774607087976151,0.941413273164626,0.711625206447686,0.274317257886573
"PC38",0.93233621757322,0.668483555253788,0.674475814507037,0.465839417529137
"PC39",0.987856030575054,0.996549754653212,0.470758277874366,0.383031455102457
"PC40",0.979564522935986,0.329849005483827,0.795117821329468,0.0359697522370165
"PC41",0.897316029387918,0.984321235263128,0.368678745686867,0.661964531982081
"PC42",0.430603211642414,0.593504219179379,0.620776640724941,0.321800403221246
"PC43",0.756680831910039,0.873769019839426,0.925068373136963,0.986071706802683
"PC44",0.981087298325527,0.995068837473294,0.794419652582388,0.126188746173524
"PC45",0.64608710962871,0.505456374913807,0.04194759106108,0.142359710596848
"PC46",0.95842932927595,0.983077610893365,0.932890061363525,0.243749672639987
"PC47",0.990479287178535,0.73701777059881,0.563129107066487,0.28748956526589
