"Name","Morph p.value","LB","SB","PI","PL","Time p.value","100ts","150ts","200ts","Interaction p.value"
"Lmtk2",2.07432593467756e-01,"a","a","a","a",1.51496503036424e-02,"a","b","a",1.44602089274907e-01
"HiH2A",1.98917514138847e-05,"a","c","b","bc",2.00435128739301e-06,"b","c","a",5.91218679193307e-01
"SLC9A3R2",9.26693516999278e-03,"a","b","a","a",3.26748409118429e-10,"a","b","c",9.05317241810055e-01
"Nkx232",4.14101793639835e-01,"a","a","a","a",3.87136265246585e-05,"b","b","a",8.65570279224585e-01
"NFiX1",2.15949984380317e-01,"a","a","a","a",1.63423860683685e-30,"a","b","c",8.31648846689197e-03
"RASSF42",1.9284668726599e-01,"a","a","a","a",6.55626596647123e-04,"a","b","a",2.01099055408756e-01
"ARF161",4.11856202018322e-07,"a","b","b","c",3.15956548510757e-07,"b","b","a",5.13182303677159e-01
"MEiS1l2",2.31438444994051e-01,"a","a","a","a",1.82732882509097e-04,"a","b","b",8.12628397716749e-03
"HiH3l2",2.26518906668531e-04,"a","b","a","ab",8.23953082286543e-10,"c","b","a",8.95866552937014e-01
"ARMC11",2.58698099854278e-05,"a","b","b","b",3.68171086399197e-02,"a","a","a",8.56861722406405e-01
"Gli31",3.88475552684054e-02,"ab","a","b","ab",6.9344087837194e-02,"a","a","a",3.53418779530642e-02
"MEGF91",2.29088907354355e-06,"a","b","b","b",2.84914808309539e-07,"a","b","b",4.55115844225548e-01
"MAGUK2",5.58902039702653e-01,"a","a","a","a",5.38875687322734e-14,"a","b","b",8.03327779513838e-02
"Rhoguanin1",1.47899827772478e-05,"a","b","b","b",7.25715374846563e-08,"c","b","a",9.87868489679543e-03
