GO.ID	Term	Annotated	Significant	Expected	weightedFisher
GO:0006334	nucleosome assembly	152	5	0.53	0.00020
GO:0016340	calcium-dependent cell-matrix adhesion	9	2	0.03	0.00043
GO:0046548	retinal rod cell development	51	3	0.18	0.00077
GO:0021963	spinothalamic tract morphogenesis	12	2	0.04	0.00078
GO:0032780	negative regulation of ATPase activity	53	3	0.19	0.00086
GO:0106028	neuron projection retraction	14	2	0.05	0.00107
GO:0099557	trans-synaptic signaling by trans-synapt...	14	2	0.05	0.00107
GO:0055069	zinc ion homeostasis	59	3	0.21	0.00118
GO:1904782	negative regulation of NMDA glutamate re...	16	2	0.06	0.00141
GO:0007216	G protein-coupled glutamate receptor sig...	63	3	0.22	0.00142
GO:1904783	positive regulation of NMDA glutamate re...	18	2	0.06	0.00179
GO:0031938	regulation of chromatin silencing at tel...	21	2	0.07	0.00244
GO:0010961	cellular magnesium ion homeostasis	22	2	0.08	0.00268
GO:0051389	inactivation of MAPKK activity	23	2	0.08	0.00293
GO:1902723	negative regulation of skeletal muscle s...	24	2	0.08	0.00318
GO:1902725	negative regulation of satellite cell di...	24	2	0.08	0.00318
GO:0036109	alpha-linolenic acid metabolic process	24	2	0.08	0.00318
GO:0022038	corpus callosum development	85	3	0.3	0.00334
GO:0032490	detection of molecule of bacterial origi...	25	2	0.09	0.00345
GO:0021554	optic nerve development	86	3	0.3	0.00346
GO:0071679	commissural neuron axon guidance	95	3	0.33	0.00457
GO:0045075	regulation of interleukin-12 biosyntheti...	29	2	0.1	0.00463
GO:0045671	negative regulation of osteoclast differ...	102	3	0.36	0.00557
GO:0050847	progesterone receptor signaling pathway	35	2	0.12	0.00670
GO:0014719	skeletal muscle satellite cell activatio...	35	2	0.12	0.00670
GO:0043052	thermotaxis	37	2	0.13	0.00746
GO:0051262	protein tetramerization	491	6	1.72	0.00771
GO:0031648	protein destabilization	120	3	0.42	0.00870
GO:0048170	positive regulation of long-term neurona...	45	2	0.16	0.01089
