GO.ID	Term	Annotated	Significant	Expected	weightedFisher
GO:0006334	nucleosome assembly	152	5	0.47	0.00011
GO:0042742	defense response to bacterium	640	9	1.98	0.00017
GO:0006189	'de novo' IMP biosynthetic process	10	2	0.03	0.00042
GO:1900275	negative regulation of phospholipase C a...	14	2	0.04	0.00084
GO:0046148	pigment biosynthetic process	171	4	0.53	0.00199
GO:0015824	proline transport	23	2	0.07	0.00229
GO:0051599	response to hydrostatic pressure	28	2	0.09	0.00339
GO:0032328	alanine transport	29	2	0.09	0.00363
GO:0051262	protein tetramerization	491	6	1.52	0.00424
GO:0033209	tumor necrosis factor-mediated signaling...	356	5	1.1	0.00502
GO:1904468	negative regulation of tumor necrosis fa...	35	2	0.11	0.00526
GO:0015816	glycine transport	35	2	0.11	0.00526
GO:0007076	mitotic chromosome condensation	42	2	0.13	0.00751
GO:0007565	female pregnancy	794	7	2.45	0.01164
