"","LMTK2","H2A","SLC9A3R2","NKX23","NFIX","RASSF4","ARL16","MEIS1","H3","ARMC1","GLI3","MEGF9","MPP3","Rhogua"
"LB100",96.400527462447,58.4702889232982,14.3426974448316,24.3480158730159,23.543304746394,31.7772283897015,15.6759906759907,14.8446874762664,55.3386919422647,67.0632453965787,NA,39.9351851851852,84.4,74.1035141031635
"LB150",94.75,50.6921510709961,16.6193761228483,24.0441176470588,11.9212121212121,32.4113572427982,0.793650793650794,9.89010989010989,49.8651185051431,51.4339981006648,91.6666666666667,24.6397231491781,58.5858585858586,59.4140316205534
"LB200",92.4968734968735,50.2741308227049,22.084101471612,18.037037037037,14.5767195767196,34.804303538734,12.8306878306878,7.73809523809524,47.7549293298317,67.2007988380537,84.8737373737374,20.1429738562091,56.8251161500589,47.3425925925926
"LB50",NA,71.3722464470061,25.9722222222222,NA,21.686038961039,27.3311795181296,9.63480963480963,0,62.2084934012965,92.7036860628192,NA,81.6239316239316,89.0760233918129,80
"PI100",98.6666666666667,57.6946310045502,34.130608974359,1.42857142857143,10.7219184324447,23.3893472211614,0,3.4963924963925,54.5358851224989,61.5384615384615,NA,43.2991946778711,79.4875222816399,76
"PI150",91.8095238095238,49.6109071716211,44.5630962657765,6.05263157894737,11.189126964989,30.6001309365964,3.95502645502645,13.3406153529993,49.4254589112096,52.3828763828764,90,24.8100048100048,59.4019138755981,72.1889189715277
"PI200",90.3256090314914,43.305630598149,45.268543956044,9.50611697670521,9.73352826510721,28.4102141822129,6.29370830457787,17.7323959886985,42.7659391967485,74.0894845894846,83.7797619047619,20.0436827956989,50.9523809523809,50.1504010695187
"PI50",NA,68.833637484397,9.09090909090909,NA,7.87878787878788,16.3353242817457,6.13247863247863,8.87445887445888,60.602890616953,67.1634199134199,NA,80,NA,NA
"PL100",NA,54.6804858740256,75.2878289473684,3.58288770053476,1.75952410162937,17.3392334723489,14.2857142857143,8.79120879120879,51.429369185194,45.7692307692308,NA,34.3073593073593,NA,79.8684210526316
"PL150",93.0769230769231,50.3830583958741,75.5103954357413,2.98701298701299,2.76818807790675,20.0676273887366,17.9643504643505,14.4032613045218,49.1295478774896,59.9553532886866,93.3333333333333,19.7037841191067,49.0642690642691,61.8715770908753
"PL200",95.8009768009768,43.4039872545733,60.0146574174856,3.95502645502645,6.025,26.7600138552666,25.2778220169525,28.3516483516484,40.6115398760299,62.3740580407247,83.1313131313131,11.3095238095238,77.0436507936508,56.6666666666667
"PL50",100,72.3960951457445,31.3973063973064,18,1.08024691358025,14.3920707227236,17.4470019892015,0.396825396825397,62.9035118018784,50.954415954416,NA,83.3333333333333,90.0048875855327,78.8562091503268
"SB100",93.1538961363523,58.5008986652521,7.75178687459389,26.2698412698413,3.79409444597617,26.0987552512785,0,40.2104431516196,54.2637958879167,65.4316569414609,95.1515151515152,39.8810772626058,79.2709744866608,75.629117259552
"SB150",98.3766233766234,50.0028697498281,20.5808646762594,7.82892867291844,1.70278825117535,29.3020531505603,7.11889425657542,30.0363408521303,49.3408036781214,59.4025126442567,92.3015873015873,16.2960369332918,66.5705931495405,66.6715542521994
"SB200",95.4924704924705,48.8115203260727,23.5006131417187,18.1818181818182,7.10973321662759,31.8432574552819,4.12121212121212,25.0618429189858,47.318297786858,51.9685028574605,62.7777777777778,16.7502572016461,55.9060728744939,50.7583527583528
"SB50",NA,71.8877376564455,22.3562834224599,NA,8.3125,19.7997172142155,7.93650793650794,16.7600373482726,63.3089254054029,40.3699633699634,NA,70.3319828319828,92.8888888888889,78.4615384615385
