GO.ID	Term	Annotated	Significant	Expected	Rank in classisKS	classicFisher	classisKS
GO:0002828	regulation of type 2 immune response	199	7	0.87	14235	2.9e-05	0.997
GO:0042092	type 2 immune response	214	7	0.94	14259	4.6e-05	0.998
GO:0045652	regulation of megakaryocyte differentiat...	174	6	0.76	5286	0.00012	0.305
GO:0045064	T-helper 2 cell differentiation	110	5	0.48	14423	0.00013	1.000
GO:0000003	reproduction	6270	46	27.47	7863	0.00014	0.495
GO:0022414	reproductive process	6211	45	27.22	8163	0.00024	0.524
GO:0032504	multicellular organism reproduction	3695	31	16.19	1051	0.00026	0.046
GO:0044703	multi-organism reproductive process	4053	33	17.76	1974	0.00028	0.098
GO:0007309	oocyte axis specification	131	5	0.57	6038	0.00029	0.358
GO:0050663	cytokine secretion	716	11	3.14	13824	0.00033	0.982
GO:0007308	oocyte construction	135	5	0.59	7754	0.00033	0.487
GO:0090197	positive regulation of chemokine secreti...	34	3	0.15	2387	0.00045	0.123
GO:0007293	germarium-derived egg chamber formation	82	4	0.36	12921	0.00047	0.924
GO:0002830	positive regulation of type 2 immune res...	88	4	0.39	13914	0.00062	0.986
GO:0019953	sexual reproduction	3377	28	14.8	3918	0.00067	0.214
GO:0045628	regulation of T-helper 2 cell differenti...	94	4	0.41	14424	0.00079	1.000
GO:2000664	positive regulation of interleukin-5 sec...	10	2	0.04	13788	0.00084	0.980
GO:0043370	regulation of CD4-positive, alpha-beta T...	255	6	1.12	14312	0.00094	0.999
GO:0090196	regulation of chemokine secretion	44	3	0.19	361	0.00096	0.013
GO:0019676	ammonia assimilation cycle	11	2	0.05	9778	0.00102	0.656
GO:2001300	lipoxin metabolic process	11	2	0.05	10819	0.00102	0.748
GO:2001301	lipoxin biosynthetic process	11	2	0.05	10820	0.00102	0.748
GO:0048609	multicellular organismal reproductive pr...	3654	29	16.01	824	0.00107	0.034
GO:0006636	unsaturated fatty acid biosynthetic proc...	102	4	0.45	8643	0.00108	0.561
GO:0045622	regulation of T-helper cell differentiat...	177	5	0.78	14425	0.00112	1.000
GO:0021963	spinothalamic tract morphogenesis	12	2	0.05	12395	0.00122	0.884
GO:0072603	interleukin-5 secretion	12	2	0.05	12901	0.00122	0.922
GO:2000662	regulation of interleukin-5 secretion	12	2	0.05	12902	0.00122	0.922
GO:2000667	positive regulation of interleukin-13 se...	12	2	0.05	12681	0.00122	0.905
