Well,Sample,Target,Task,Amp Status,Ct,Ct Mean,Cq Confidence,Ct Standard Deviation,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Omit
A1,S25,actb,Unknown,Amp,14.326984,14.315916,0.98809636,0.015653677,true,0.10052729,true,3,10,81.7192,,,false
A2,S26,actb,Unknown,Amp,14.122767,14.123505,0.98044086,0.001043219,true,0.10052729,true,3,10,81.57907,,,false
A3,S27,actb,Unknown,Amp,13.691448,13.713926,0.99243027,0.031789515,true,0.10052729,true,3,9,81.43895,,,false
A4,S28,actb,Unknown,Amp,14.556509,14.556599,0.98620903,1.2745208E-4,true,0.10052729,true,3,10,81.43895,,,false
A5,S29,actb,Unknown,Amp,14.8003,14.816654,0.99031854,0.023128167,true,0.10052729,true,3,10,81.85932,,,false
A6,S30,actb,Unknown,Amp,14.547668,14.539808,0.98907834,0.011116653,true,0.10052729,true,3,10,81.85932,,,false
A7,S31,actb,Unknown,Amp,14.104384,14.101112,0.9857793,0.004627387,true,0.10052729,true,3,10,81.85932,,,false
A8,S32,actb,Unknown,Amp,13.850378,13.838759,0.9876895,0.016431201,true,0.10052729,true,3,10,81.85932,,,false
A9,S33,actb,Unknown,Amp,14.734652,14.641153,0.9808694,0.1322258,true,0.10052729,true,3,10,81.85932,,,false
A10,S34,actb,Unknown,Amp,14.550633,14.568169,0.98885965,0.024797857,true,0.10052729,true,3,10,81.85932,,,false
A11,S35,actb,Unknown,Amp,13.985908,13.994101,0.9903878,0.011586675,true,0.10052729,true,3,10,81.7192,,,false
A12,S36,actb,Unknown,Amp,14.764492,14.766609,0.9855967,0.002994112,true,0.10052729,true,3,10,81.7192,,,false
B1,S25,actb,Unknown,Amp,14.304847,14.315916,0.9799622,0.015653677,true,0.10052729,true,3,10,81.57907,,,false
B2,S26,actb,Unknown,Amp,14.124243,14.123505,0.98554087,0.001043219,true,0.10052729,true,3,10,81.57907,,,false
B3,S27,actb,Unknown,Amp,13.736405,13.713926,0.9910117,0.031789515,true,0.10052729,true,3,10,81.43895,,,false
B4,S28,actb,Unknown,Amp,14.556689,14.556599,0.9843558,1.2745208E-4,true,0.10052729,true,3,10,81.43895,,,false
B5,S29,actb,Unknown,Amp,14.833008,14.816654,0.9899649,0.023128167,true,0.10052729,true,3,11,81.85932,,,false
B6,S30,actb,Unknown,Amp,14.531947,14.539808,0.9837756,0.011116653,true,0.10052729,true,3,10,81.85932,,,false
B7,S31,actb,Unknown,Amp,14.09784,14.101112,0.9870136,0.004627387,true,0.10052729,true,3,10,81.7192,,,false
B8,S32,actb,Unknown,Amp,13.827141,13.838759,0.9816506,0.016431201,true,0.10052729,true,3,10,81.85932,,,false
B9,S33,actb,Unknown,Amp,14.547656,14.641153,0.9863073,0.1322258,true,0.10052729,true,3,10,81.85932,,,false
B10,S34,actb,Unknown,Amp,14.585703,14.568169,0.9863213,0.024797857,true,0.10052729,true,3,10,81.85932,,,false
B11,S35,actb,Unknown,Amp,14.002294,13.994101,0.986777,0.011586675,true,0.10052729,true,3,10,81.7192,,,false
B12,S36,actb,Unknown,Amp,14.768726,14.766609,0.9855026,0.002994112,true,0.10052729,true,3,10,81.7192,,,false
C1,S25,Ub2l3,Unknown,Amp,18.395353,18.398947,0.9635659,0.005081899,true,0.09856882,true,3,14,80.598206,,,false
C2,S26,Ub2l3,Unknown,Amp,17.978853,17.98242,0.9712455,0.005044135,true,0.09856882,true,3,14,80.73833,,,false
C3,S27,Ub2l3,Unknown,Amp,17.680891,17.675528,0.9708275,0.007585084,true,0.09856882,true,3,13,80.598206,,,false
C4,S28,Ub2l3,Unknown,Amp,18.719011,18.667143,0.94233483,0.07335305,true,0.09856882,true,3,14,80.45808,,,false
C5,S29,Ub2l3,Unknown,Amp,18.623589,18.645678,0.95096457,0.031238569,true,0.09856882,true,3,14,80.73833,,,false
C6,S30,Ub2l3,Unknown,Amp,18.625437,18.668114,0.9498048,0.06035294,true,0.09856882,true,3,14,80.87845,,,false
C7,S31,Ub2l3,Unknown,Amp,17.92343,17.94168,0.9711697,0.025810055,true,0.09856882,true,3,13,80.73833,,,false
C8,S32,Ub2l3,Unknown,Amp,17.71507,17.713068,0.97260416,0.002832268,true,0.09856882,true,3,13,80.73833,,,false
C9,S33,Ub2l3,Unknown,Amp,18.73111,18.760868,0.9617075,0.04208346,true,0.09856882,true,3,14,81.01858,,,false
C10,S34,Ub2l3,Unknown,Amp,18.83498,18.83738,0.97131497,0.003394676,true,0.09856882,true,3,14,80.87845,,,false
C11,S35,Ub2l3,Unknown,Amp,18.108997,18.127712,0.9681905,0.026468221,true,0.09856882,true,3,14,80.73833,,,false
C12,S36,Ub2l3,Unknown,Amp,18.741182,18.738256,0.9664085,0.004137809,true,0.09856882,true,3,14,80.73833,,,false
D1,S25,Ub2l3,Unknown,Amp,18.40254,18.398947,0.9570636,0.005081899,true,0.09856882,true,3,14,80.598206,,,false
D2,S26,Ub2l3,Unknown,Amp,17.985987,17.98242,0.97249234,0.005044135,true,0.09856882,true,3,14,80.598206,,,false
