Well,Sample,Target,Task,Amp Status,Ct,Ct Mean,Cq Confidence,Ct Standard Deviation,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Omit
A1,S13,actb,Unknown,Amp,14.5326,14.392778,0.98232204,0.1977375,true,0.088452294,true,3,10,81.2991,,,false
A2,S14,actb,Unknown,Amp,13.464771,13.41787,0.9860237,0.066329025,true,0.088452294,true,3,9,81.439224,,,false
A3,S15,actb,Unknown,Amp,13.424131,13.378481,0.9859324,0.064558856,true,0.088452294,true,3,9,81.15898,,,false
A4,S16,actb,Unknown,Amp,14.019599,14.009701,0.9815802,0.013997474,true,0.088452294,true,3,10,81.15898,,,false
A5,S17,actb,Unknown,Amp,13.977966,13.968273,0.9931081,0.013707504,true,0.088452294,true,3,10,81.579346,,,false
A6,S18,actb,Unknown,Amp,14.502437,14.471195,0.98413616,0.04418136,true,0.088452294,true,3,10,81.579346,,,false
A7,S19,actb,Unknown,Amp,13.7693815,13.736898,0.9910823,0.045938715,true,0.088452294,true,3,10,81.579346,,,false
A8,S20,actb,Unknown,Amp,13.15083,13.114159,0.9918164,0.051862203,true,0.088452294,true,3,9,81.579346,,,false
A9,S21,actb,Unknown,Amp,13.126351,13.087199,0.9912943,0.055369496,true,0.088452294,true,3,9,81.579346,,,false
A10,S22,actb,Unknown,Amp,13.98213,13.983011,0.9881384,0.001245524,true,0.088452294,true,3,10,81.719475,,,false
A11,S23,actb,Unknown,Amp,14.552148,14.53009,0.9885312,0.031193389,true,0.088452294,true,3,10,81.439224,,,false
A12,S24,actb,Unknown,Amp,13.835251,13.81889,0.9910368,0.023138283,true,0.088452294,true,3,10,81.439224,,,false
B1,S13,actb,Unknown,Amp,14.252957,14.392778,0.98516077,0.1977375,true,0.088452294,true,3,10,81.439224,,,false
B2,S14,actb,Unknown,Amp,13.370968,13.41787,0.9849333,0.066329025,true,0.088452294,true,3,9,81.2991,,,false
B3,S15,actb,Unknown,Amp,13.332831,13.378481,0.9907797,0.064558856,true,0.088452294,true,3,9,81.2991,,,false
B4,S16,actb,Unknown,Amp,13.999804,14.009701,0.99340665,0.013997474,true,0.088452294,true,3,10,81.15898,,,false
B5,S17,actb,Unknown,Amp,13.958581,13.968273,0.9915745,0.013707504,true,0.088452294,true,3,10,81.579346,,,false
B6,S18,actb,Unknown,Amp,14.439955,14.471195,0.988471,0.04418136,true,0.088452294,true,3,10,81.579346,,,false
B7,S19,actb,Unknown,Amp,13.704414,13.736898,0.98915184,0.045938715,true,0.088452294,true,3,10,81.579346,,,false
B8,S20,actb,Unknown,Amp,13.077486,13.114159,0.988157,0.051862203,true,0.088452294,true,3,9,81.579346,,,false
B9,S21,actb,Unknown,Amp,13.048047,13.087199,0.98779035,0.055369496,true,0.088452294,true,3,9,81.719475,,,false
B10,S22,actb,Unknown,Amp,13.9838915,13.983011,0.9896646,0.001245524,true,0.088452294,true,3,10,81.579346,,,false
B11,S23,actb,Unknown,Amp,14.508034,14.53009,0.991971,0.031193389,true,0.088452294,true,3,10,81.439224,,,false
B12,S24,actb,Unknown,Amp,13.802528,13.81889,0.98783666,0.023138283,true,0.088452294,true,3,10,81.439224,,,false
C1,S13,Ub2l3,Unknown,Amp,19.145199,19.148983,0.9429746,0.005351638,true,0.09354414,true,3,15,80.31824,,,false
C2,S14,Ub2l3,Unknown,Amp,17.987713,18.000977,0.970621,0.018757708,true,0.09354414,true,3,14,80.31824,,,false
C3,S15,Ub2l3,Unknown,Amp,18.245523,18.2142,0.96169174,0.04429937,true,0.09354414,true,3,14,80.178116,,,false
C4,S16,Ub2l3,Unknown,Amp,18.438042,18.433723,0.96475327,0.006108258,true,0.09354414,true,3,14,80.178116,,,false
C5,S17,Ub2l3,Unknown,Amp,18.320862,18.333752,0.96517915,0.018227668,true,0.09354414,true,3,14,80.59848,,,false
C6,S18,Ub2l3,Unknown,Amp,19.332716,19.42429,0.9665812,0.12950614,true,0.09354414,true,3,15,80.59848,,,false
C7,S19,Ub2l3,Unknown,Amp,18.454855,18.456001,0.97071457,0.001622485,true,0.09354414,true,3,14,80.45836,,,false
C8,S20,Ub2l3,Unknown,Amp,17.68422,17.649048,0.97586423,0.049740024,true,0.09354414,true,3,13,80.45836,,,false
C9,S21,Ub2l3,Unknown,Amp,17.525679,17.536911,0.9682437,0.015884979,true,0.09354414,true,3,13,80.59848,,,false
C10,S22,Ub2l3,Unknown,Amp,18.507736,18.53127,0.975542,0.0332805,true,0.09354414,true,3,14,80.59848,,,false
C11,S23,Ub2l3,Unknown,Amp,19.29597,19.280066,0.94904435,0.022493605,true,0.09354414,true,3,15,80.31824,,,false
C12,S24,Ub2l3,Unknown,Amp,18.157726,17.932133,0.96823484,0.31903747,true,0.09354414,true,3,14,80.31824,,,false
D1,S13,Ub2l3,Unknown,Amp,19.152767,19.148983,0.9332971,0.005351638,true,0.09354414,true,3,15,80.31824,,,false
D2,S14,Ub2l3,Unknown,Amp,18.01424,18.000977,0.9629576,0.018757708,true,0.09354414,true,3,14,80.31824,,,false
D3,S15,Ub2l3,Unknown,Amp,18.182875,18.2142,0.9573388,0.04429937,true,0.09354414,true,3,14,80.178116,,,false
D4,S16,Ub2l3,Unknown,Amp,18.429403,18.433723,0.9668365,0.006108258,true,0.09354414,true,3,14,80.31824,,,false
D5,S17,Ub2l3,Unknown,Amp,18.34664,18.333752,0.9670954,0.018227668,true,0.09354414,true,3,14,80.45836,,,false
D6,S18,Ub2l3,Unknown,Amp,19.515865,19.42429,0.9662559,0.12950614,true,0.09354414,true,3,15,80.45836,,,false
D7,S19,Ub2l3,Unknown,Amp,18.45715,18.456001,0.96400523,0.001622485,true,0.09354414,true,3,14,80.45836,,,false
D8,S20,Ub2l3,Unknown,Amp,17.613876,17.649048,0.9735477,0.049740024,true,0.09354414,true,3,13,80.45836,,,false
D9,S21,Ub2l3,Unknown,Amp,17.548143,17.536911,0.9788204,0.015884979,true,0.09354414,true,3,13,80.59848,,,false
D10,S22,Ub2l3,Unknown,Amp,18.554802,18.53127,0.96965617,0.0332805,true,0.09354414,true,3,14,80.45836,,,false
D11,S23,Ub2l3,Unknown,Amp,19.26416,19.280066,0.958661,0.022493605,true,0.09354414,true,3,15,80.178116,,,false
D12,S24,Ub2l3,Unknown,Amp,17.70654,17.932133,0.9802377,0.31903747,true,0.09354414,true,3,13,80.59848,,,false
E1,S13,ARF16-1,Unknown,Amp,27.789995,27.743767,0.94470537,0.06537819,true,0.076382995,true,3,24,81.579346,,,false
E2,S14,ARF16-1,Unknown,Amp,27.188543,27.149925,0.9159552,0.054615572,true,0.076382995,true,3,23,81.579346,,,false
E3,S15,ARF16-1,Unknown,Amp,27.729258,27.612494,0.9215111,0.16512933,true,0.076382995,true,3,24,81.579346,,,false
E4,S16,ARF16-1,Unknown,Amp,28.928991,29.23394,0.9417518,0.4312614,true,0.076382995,true,3,25,81.579346,,,false
E5,S17,ARF16-1,Unknown,Amp,29.83807,29.737602,0.9356779,0.14208277,true,0.076382995,true,3,26,81.719475,,,false
