Well,Sample,Target,Task,Amp Status,Ct,Ct Mean,Cq Confidence,Ct Standard Deviation,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Omit
A1,S1,actb,Unknown,Amp,13.134608,12.799405,0.98502177,0.47404888,true,0.05234204,true,3,10,81.26888,,,false
A2,S2,actb,Unknown,Amp,12.997656,12.905656,0.97893167,0.13010766,true,0.05234204,true,3,9,81.4088,,,false
A3,S3,actb,Unknown,Amp,12.1299715,11.981771,0.9880948,0.2095865,true,0.05234204,true,3,9,81.26888,,,false
A4,S4,actb,Unknown,Amp,13.540436,13.373199,0.98335624,0.2365072,true,0.05234204,true,3,10,81.26888,,,false
A5,S5,actb,Unknown,Amp,13.439909,13.442182,0.98518133,0.00321395,true,0.05234204,true,3,10,81.68863,,,false
A6,S6,actb,Unknown,Amp,13.438016,13.168191,0.98334414,0.38159016,true,0.05234204,true,3,10,81.68863,,,false
A7,S7,actb,Unknown,Amp,12.236496,12.252554,0.9839475,0.022708721,true,0.05234204,true,3,9,81.828545,,,false
A8,S8,actb,Unknown,Amp,12.154747,11.9657755,0.9826013,0.2672461,true,0.05234204,true,3,9,81.68863,,,false
A9,S9,actb,Unknown,Amp,12.01372,11.946241,0.9898908,0.095428556,true,0.05234204,true,3,9,81.68863,,,false
A10,S10,actb,Unknown,Amp,12.452512,12.371241,0.9908578,0.114935465,true,0.05234204,true,3,9,81.828545,,,false
A11,S11,actb,Unknown,Amp,12.947036,12.852924,0.99108386,0.13309368,true,0.05234204,true,3,10,81.54871,,,false
A12,S12,actb,Unknown,Amp,13.22693,13.025433,0.9802785,0.2849599,true,0.05234204,true,3,10,80.98905,,,false
B1,S1,actb,Unknown,Amp,12.464202,12.799405,0.99283177,0.47404888,true,0.05234204,true,3,9,81.68863,,,false
B2,S2,actb,Unknown,Amp,12.813656,12.905656,0.9860104,0.13010766,true,0.05234204,true,3,9,81.54871,,,false
B3,S3,actb,Unknown,Amp,11.833571,11.981771,0.97664696,0.2095865,true,0.05234204,true,3,8,81.4088,,,false
B4,S4,actb,Unknown,Amp,13.205964,13.373199,0.99140364,0.2365072,true,0.05234204,true,3,10,81.26888,,,false
B5,S5,actb,Unknown,Amp,13.444454,13.442182,0.9831505,0.00321395,true,0.05234204,true,3,10,81.68863,,,false
B6,S6,actb,Unknown,Amp,12.898366,13.168191,0.9909626,0.38159016,true,0.05234204,true,3,9,81.828545,,,false
B7,S7,actb,Unknown,Amp,12.268611,12.252554,0.98716336,0.022708721,true,0.05234204,true,3,9,81.68863,,,false
B8,S8,actb,Unknown,Amp,11.776804,11.9657755,0.9876219,0.2672461,true,0.05234204,true,3,8,81.68863,,,false
B9,S9,actb,Unknown,Amp,11.878763,11.946241,0.98959106,0.095428556,true,0.05234204,true,3,8,81.68863,,,false
B10,S10,actb,Unknown,Amp,12.2899685,12.371241,0.9905558,0.114935465,true,0.05234204,true,3,9,81.828545,,,false
B11,S11,actb,Unknown,Amp,12.758813,12.852924,0.98726094,0.13309368,true,0.05234204,true,3,9,81.4088,,,false
B12,S12,actb,Unknown,Amp,12.8239355,13.025433,0.982876,0.2849599,true,0.05234204,true,3,9,81.26888,,,false
C1,S1,Ub2l3,Unknown,Amp,18.201681,17.998451,0.9653029,0.28741184,true,0.059508402,true,3,15,80.14955,,,false
C2,S2,Ub2l3,Unknown,Amp,18.103806,18.018929,0.97757626,0.120034225,true,0.059508402,true,3,14,80.42938,,,false
C3,S3,Ub2l3,Unknown,Amp,17.15619,17.174088,0.9732821,0.025309687,true,0.059508402,true,3,14,80.289474,,,false
C4,S4,Ub2l3,Unknown,Amp,18.09012,18.23151,0.9708393,0.19995679,true,0.059508402,true,3,14,80.42938,,,false
C5,S5,Ub2l3,Unknown,Amp,18.205666,18.190626,0.9564415,0.021268986,true,0.059508402,true,3,15,80.569305,,,false
C6,S6,Ub2l3,Unknown,Amp,18.146317,18.112762,0.9181711,0.04745398,true,0.059508402,true,3,15,80.70922,,,false
C7,S7,Ub2l3,Unknown,Amp,17.499779,17.502098,0.97128636,0.003280036,true,0.059508402,true,3,14,80.569305,,,false
C8,S8,Ub2l3,Unknown,Amp,17.031872,17.011578,0.96324694,0.02869897,true,0.059508402,true,3,13,80.569305,,,false
C9,S9,Ub2l3,Unknown,Amp,16.982101,16.975262,0.9831073,0.009671521,true,0.059508402,true,3,13,80.569305,,,false
C10,S10,Ub2l3,Unknown,Amp,17.487371,17.560081,0.9592825,0.10282887,true,0.059508402,true,3,14,80.70922,,,false
C11,S11,Ub2l3,Unknown,Amp,17.819689,17.850464,0.9649798,0.04352387,true,0.059508402,true,3,14,80.289474,,,false
C12,S12,Ub2l3,Unknown,Amp,17.693039,17.682806,0.9743176,0.014471542,true,0.059508402,true,3,14,80.42938,,,false
D1,S1,Ub2l3,Unknown,Amp,17.79522,17.998451,0.970434,0.28741184,true,0.059508402,true,3,14,80.42938,,,false
D2,S2,Ub2l3,Unknown,Amp,17.934052,18.018929,0.9825686,0.120034225,true,0.059508402,true,3,14,80.42938,,,false
D3,S3,Ub2l3,Unknown,Amp,17.191984,17.174088,0.9674341,0.025309687,true,0.059508402,true,3,14,80.289474,,,false
D4,S4,Ub2l3,Unknown,Amp,18.372902,18.23151,0.9802127,0.19995679,true,0.059508402,true,3,15,80.289474,,,false
D5,S5,Ub2l3,Unknown,Amp,18.175587,18.190626,0.9558096,0.021268986,true,0.059508402,true,3,14,80.569305,,,false
D6,S6,Ub2l3,Unknown,Amp,18.079206,18.112762,0.9820119,0.04745398,true,0.059508402,true,3,14,80.569305,,,false
D7,S7,Ub2l3,Unknown,Amp,17.504417,17.502098,0.96229786,0.003280036,true,0.059508402,true,3,14,80.569305,,,false
D8,S8,Ub2l3,Unknown,Amp,16.991285,17.011578,0.96752053,0.02869897,true,0.059508402,true,3,13,80.569305,,,false
D9,S9,Ub2l3,Unknown,Amp,16.968424,16.975262,0.9679169,0.009671521,true,0.059508402,true,3,13,80.569305,,,false
D10,S10,Ub2l3,Unknown,Amp,17.632793,17.560081,0.965777,0.10282887,true,0.059508402,true,3,14,80.569305,,,false
D11,S11,Ub2l3,Unknown,Amp,17.88124,17.850464,0.9839663,0.04352387,true,0.059508402,true,3,14,80.14955,,,false
D12,S12,Ub2l3,Unknown,Amp,17.672573,17.682806,0.96971333,0.014471542,true,0.059508402,true,3,14,80.289474,,,false
E1,S1,Lmtk2,Unknown,Amp,24.036266,23.927773,0.88161993,0.15343341,true,0.05637817,true,3,20,83.2277,,,false
E2,S2,Lmtk2,Unknown,Amp,24.4799,24.466381,0.90823746,0.019119158,true,0.05637817,true,3,21,83.367615,,,false
E3,S3,Lmtk2,Unknown,Amp,23.219471,23.264158,0.83010125,0.063197345,true,0.05637817,true,3,19,83.2277,,,false
E4,S4,Lmtk2,Unknown,Amp,24.924541,24.956425,0.9102382,0.04509106,true,0.05637817,true,3,21,83.2277,,,false
