Well,Sample,Target,Task,Amp Status,Ct,Ct Mean,Cq Confidence,Ct Standard Deviation,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Omit
A1,S1,actb,Unknown,Amp,12.718397,12.634776,0.98826826,0.118257985,true,0.08936048,true,3,9,81.99211,,,false
A2,S2,actb,Unknown,Amp,13.230031,13.206381,0.98781496,0.033445716,true,0.08936048,true,3,9,81.852036,,,false
A3,S3,actb,Unknown,Amp,12.473415,12.431503,0.9858496,0.059273306,true,0.08936048,true,3,8,81.71196,,,false
A4,S4,actb,Unknown,Amp,13.659512,13.575861,0.9882547,0.1182998,true,0.08936048,true,3,9,81.15166,,,false
A5,S5,actb,Unknown,Amp,13.861052,13.834236,0.9869655,0.037923396,true,0.08936048,true,3,10,81.99211,,,false
A6,S6,actb,Unknown,Amp,13.660461,13.605559,0.9913623,0.07764326,true,0.08936048,true,3,9,81.99211,,,false
A7,S7,actb,Unknown,Amp,12.634927,12.602271,0.9923314,0.046182156,true,0.08936048,true,3,9,81.99211,,,false
A8,S8,actb,Unknown,Amp,12.255112,12.224199,0.98451155,0.04371741,true,0.08936048,true,3,8,81.99211,,,false
A9,S9,actb,Unknown,Amp,12.2118225,12.141964,0.9881111,0.098795585,true,0.08936048,true,3,8,82.13219,,,false
A10,S10,actb,Unknown,Amp,12.705074,12.642311,0.99194187,0.08876059,true,0.08936048,true,3,9,82.13219,,,false
A11,S11,actb,Unknown,Amp,12.95907,12.952114,0.98954964,0.009836737,true,0.08936048,true,3,9,81.852036,,,false
A12,S12,actb,Unknown,Amp,12.843354,12.841755,0.9894243,0.002261769,true,0.08936048,true,3,9,81.852036,,,false
B1,S1,actb,Unknown,Amp,12.551155,12.634776,0.9862067,0.118257985,true,0.08936048,true,3,8,81.852036,,,false
B2,S2,actb,Unknown,Amp,13.182732,13.206381,0.9881855,0.033445716,true,0.08936048,true,3,9,81.71196,,,false
B3,S3,actb,Unknown,Amp,12.38959,12.431503,0.99222296,0.059273306,true,0.08936048,true,3,8,81.71196,,,false
B4,S4,actb,Unknown,Amp,13.49221,13.575861,0.99164647,0.1182998,true,0.08936048,true,3,9,81.571884,,,false
B5,S5,actb,Unknown,Amp,13.80742,13.834236,0.99110675,0.037923396,true,0.08936048,true,3,10,81.99211,,,false
B6,S6,actb,Unknown,Amp,13.550657,13.605559,0.9893145,0.07764326,true,0.08936048,true,3,9,81.99211,,,false
