Well,Sample,Target,Task,Amp Status,Ct,Ct Mean,Cq Confidence,Ct Standard Deviation,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Omit
A1,S1,actb,Unknown,Amp,12.832704,12.789522,0.98721164,0.06106775,true,0.083433576,true,3,9,81.84273,,,false
A2,S2,actb,Unknown,Amp,13.339487,13.272367,0.9861315,0.094922796,true,0.083433576,true,3,9,81.70271,,,false
A3,S3,actb,Unknown,Amp,12.596085,12.542772,0.9908526,0.07539498,true,0.083433576,true,3,9,81.5627,,,false
A4,S4,actb,Unknown,Amp,13.59745,13.622267,0.98711836,0.035096522,true,0.083433576,true,3,9,81.42268,,,false
A5,S5,actb,Unknown,Amp,13.961637,13.927038,0.99132115,0.04893013,true,0.083433576,true,3,10,81.84273,,,false
A6,S6,actb,Unknown,Amp,13.66858,13.640833,0.9927742,0.0392404,true,0.083433576,true,3,10,81.84273,,,false
A7,S7,actb,Unknown,Amp,12.710434,12.691572,0.98876137,0.026674572,true,0.083433576,true,3,9,81.84273,,,false
A8,S8,actb,Unknown,Amp,12.320891,12.266377,0.9913802,0.07709434,true,0.083433576,true,3,8,81.84273,,,false
A9,S9,actb,Unknown,Amp,12.396408,12.322538,0.99118,0.10446754,true,0.083433576,true,3,9,81.84273,,,false
A10,S10,actb,Unknown,Amp,12.821353,12.820368,0.99241185,0.001392532,true,0.083433576,true,3,9,81.98274,,,false
A11,S11,actb,Unknown,Amp,13.103607,13.0675745,0.9866726,0.0509579,true,0.083433576,true,3,9,81.70271,,,false
A12,S12,actb,Unknown,Amp,12.868934,12.846279,0.9900991,0.032037675,true,0.083433576,true,3,9,81.70271,,,false
B1,S1,actb,Unknown,Amp,12.746341,12.789522,0.9844668,0.06106775,true,0.083433576,true,3,9,81.70271,,,false
B2,S2,actb,Unknown,Amp,13.205246,13.272367,0.9852897,0.094922796,true,0.083433576,true,3,9,81.5627,,,false
B3,S3,actb,Unknown,Amp,12.48946,12.542772,0.991474,0.07539498,true,0.083433576,true,3,8,81.5627,,,false
B4,S4,actb,Unknown,Amp,13.647084,13.622267,0.99163175,0.035096522,true,0.083433576,true,3,10,81.42268,,,false
B5,S5,actb,Unknown,Amp,13.892439,13.927038,0.97322124,0.04893013,true,0.083433576,true,3,10,81.84273,,,false
B6,S6,actb,Unknown,Amp,13.613086,13.640833,0.9891183,0.0392404,true,0.083433576,true,3,9,81.84273,,,false
B7,S7,actb,Unknown,Amp,12.67271,12.691572,0.9896209,0.026674572,true,0.083433576,true,3,9,81.84273,,,false
B8,S8,actb,Unknown,Amp,12.2118635,12.266377,0.9935967,0.07709434,true,0.083433576,true,3,8,81.84273,,,false
B9,S9,actb,Unknown,Amp,12.248669,12.322538,0.9888965,0.10446754,true,0.083433576,true,3,8,81.84273,,,false
B10,S10,actb,Unknown,Amp,12.819384,12.820368,0.9870025,0.001392532,true,0.083433576,true,3,9,81.84273,,,false
B11,S11,actb,Unknown,Amp,13.031542,13.0675745,0.9843244,0.0509579,true,0.083433576,true,3,9,81.70271,,,false
B12,S12,actb,Unknown,Amp,12.823626,12.846279,0.9936858,0.032037675,true,0.083433576,true,3,9,81.5627,,,false
C1,S1,Ub2l3,Unknown,Amp,18.211695,18.194572,0.95502764,0.024215894,true,0.094278015,true,3,14,80.4426,,,false
C2,S2,Ub2l3,Unknown,Amp,18.596064,18.599503,0.959568,0.004863409,true,0.094278015,true,3,14,80.4426,,,false
C3,S3,Ub2l3,Unknown,Amp,17.868677,17.845263,0.9713381,0.03311326,true,0.094278015,true,3,14,80.30258,,,false
C4,S4,Ub2l3,Unknown,Amp,18.71525,18.710266,0.9574127,0.007048302,true,0.094278015,true,3,14,80.30258,,,false
C5,S5,Ub2l3,Unknown,Amp,18.848959,18.846085,0.945464,0.004064979,true,0.094278015,true,3,14,80.5826,,,false
C6,S6,Ub2l3,Unknown,Amp,18.681076,18.667183,0.95340276,0.019649198,true,0.094278015,true,3,14,80.72262,,,false
C7,S7,Ub2l3,Unknown,Amp,18.098732,18.122116,0.9765386,0.03307145,true,0.094278015,true,3,14,80.5826,,,false
C8,S8,Ub2l3,Unknown,Amp,17.555471,17.56404,0.9647445,0.012116713,true,0.094278015,true,3,13,80.5826,,,false
C9,S9,Ub2l3,Unknown,Amp,17.43324,17.43104,0.96403056,0.003112798,true,0.094278015,true,3,13,80.72262,,,false
C10,S10,Ub2l3,Unknown,Amp,17.98633,18.004873,0.9848717,0.026224107,true,0.094278015,true,3,14,80.72262,,,false
C11,S11,Ub2l3,Unknown,Amp,18.305119,18.291124,0.96129096,0.019790811,true,0.094278015,true,3,14,80.4426,,,false
C12,S12,Ub2l3,Unknown,Amp,18.002808,17.987251,0.9656965,0.021998633,true,0.094278015,true,3,14,80.4426,,,false
D1,S1,Ub2l3,Unknown,Amp,18.177448,18.194572,0.9535318,0.024215894,true,0.094278015,true,3,14,80.4426,,,false
D2,S2,Ub2l3,Unknown,Amp,18.602942,18.599503,0.96070564,0.004863409,true,0.094278015,true,3,14,80.4426,,,false
D3,S3,Ub2l3,Unknown,Amp,17.821848,17.845263,0.97546846,0.03311326,true,0.094278015,true,3,14,80.30258,,,false
D4,S4,Ub2l3,Unknown,Amp,18.705282,18.710266,0.9419379,0.007048302,true,0.094278015,true,3,14,80.4426,,,false
D5,S5,Ub2l3,Unknown,Amp,18.84321,18.846085,0.96541375,0.004064979,true,0.094278015,true,3,14,80.72262,,,false
D6,S6,Ub2l3,Unknown,Amp,18.653288,18.667183,0.9552501,0.019649198,true,0.094278015,true,3,14,80.5826,,,false
D7,S7,Ub2l3,Unknown,Amp,18.145502,18.122116,0.9741463,0.03307145,true,0.094278015,true,3,14,80.5826,,,false
D8,S8,Ub2l3,Unknown,Amp,17.572607,17.56404,0.98285586,0.012116713,true,0.094278015,true,3,13,80.5826,,,false
D9,S9,Ub2l3,Unknown,Amp,17.428839,17.43104,0.9762905,0.003112798,true,0.094278015,true,3,13,80.72262,,,false
D10,S10,Ub2l3,Unknown,Amp,18.023417,18.004873,0.9739785,0.026224107,true,0.094278015,true,3,14,80.72262,,,false
D11,S11,Ub2l3,Unknown,Amp,18.27713,18.291124,0.96850216,0.019790811,true,0.094278015,true,3,14,80.4426,,,false
D12,S12,Ub2l3,Unknown,Amp,17.971697,17.987251,0.97325724,0.021998633,true,0.094278015,true,3,14,80.4426,,,false
E1,S1,GLi3-1,Unknown,Amp,24.316694,24.282541,0.9233537,0.048299614,true,0.11725609,true,3,19,79.74252,,,false
E2,S2,GLi3-1,Unknown,Amp,24.93038,24.892979,0.9322989,0.052893285,true,0.11725609,true,3,20,79.74252,,,false
E3,S3,GLi3-1,Unknown,Amp,23.834496,23.76456,0.90599227,0.098904155,true,0.11725609,true,3,19,79.74252,,,false
E4,S4,GLi3-1,Unknown,Amp,24.45628,24.386871,0.9476089,0.09815697,true,0.11725609,true,3,20,79.74252,,,false
E5,S5,GLi3-1,Unknown,Amp,25.576357,25.499382,0.94228315,0.10885756,true,0.11725609,true,3,21,79.88254,,,false
