Well,Sample,Target,Task,Amp Status,Ct,Ct Mean,Cq Confidence,Ct Standard Deviation,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Omit
A1,S1,actb,Unknown,Amp,12.728668,12.61965,0.9835817,0.15417586,true,0.08010697,true,3,9,82.00149,,,false
A2,S2,actb,Unknown,Amp,13.184041,13.150234,0.9862283,0.04781071,true,0.08010697,true,3,9,81.86135,,,false
A3,S3,actb,Unknown,Amp,12.52965,12.505665,0.9908983,0.03391911,true,0.08010697,true,3,9,81.581085,,,false
A4,S4,actb,Unknown,Amp,14.030234,13.748131,0.97955215,0.39895466,true,0.08010697,true,3,10,71.2111,,,false
A5,S5,actb,Unknown,Inconclusive,14.560233,14.202121,0.98569167,0.5064473,true,0.08010697,true,3,11,63.92408,,,false
A6,S6,actb,Unknown,Amp,13.813142,13.689897,0.98606104,0.17429508,true,0.08010697,true,3,10,81.581085,,,false
A7,S7,actb,Unknown,Amp,12.72171,12.659846,0.9915368,0.08748876,true,0.08010697,true,3,9,81.721214,,,false
A8,S8,actb,Unknown,Amp,12.267117,12.204199,0.98678356,0.08897908,true,0.08010697,true,3,8,82.00149,,,false
A9,S9,actb,Unknown,Amp,12.303841,12.208055,0.9861339,0.135462,true,0.08010697,true,3,9,81.86135,,,false
A10,S10,actb,Unknown,Amp,12.733664,12.704733,0.98947376,0.04091481,true,0.08010697,true,3,9,82.14162,,,false
A11,S11,actb,Unknown,Amp,13.0878725,13.027542,0.986578,0.08532073,true,0.08010697,true,3,9,81.86135,,,false
A12,S12,actb,Unknown,Amp,12.952309,12.879019,0.99359,0.10364753,true,0.08010697,true,3,9,81.86135,,,false
B1,S1,actb,Unknown,Amp,12.510631,12.61965,0.98857224,0.15417586,true,0.08010697,true,3,8,81.86135,,,false
B2,S2,actb,Unknown,Amp,13.116426,13.150234,0.9898075,0.04781071,true,0.08010697,true,3,9,81.721214,,,false
B3,S3,actb,Unknown,Amp,12.481681,12.505665,0.990267,0.03391911,true,0.08010697,true,3,9,81.581085,,,false
B4,S4,actb,Unknown,Amp,13.466027,13.748131,0.9911675,0.39895466,true,0.08010697,true,3,9,81.581085,,,false
B5,S5,actb,Unknown,Amp,13.844008,14.202121,0.99114513,0.5064473,true,0.08010697,true,3,10,81.86135,,,false
