Well,Sample,Target,Task,Amp Status,Ct,Ct Mean,Cq Confidence,Ct Standard Deviation,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Omit
A1,S1,actb,Unknown,Amp,13.103273,12.911502,0.9724305,0.27120587,true,0.05984545,true,3,9,81.400894,,,false
A2,S2,actb,Unknown,Amp,13.320158,13.25736,0.9849252,0.08880914,true,0.05984545,true,3,10,81.400894,,,false
A3,S3,actb,Unknown,Amp,12.3428755,12.331393,0.9929338,0.016238337,true,0.05984545,true,3,9,81.26103,,,false
A4,S4,actb,Unknown,Amp,13.682235,13.960811,0.9892142,0.3939658,true,0.05984545,true,3,10,81.26103,,,false
A5,S5,actb,Unknown,Amp,13.705653,13.699272,0.98258054,0.009024146,true,0.05984545,true,3,10,81.68062,,,false
A6,S6,actb,Unknown,Amp,13.5409155,13.553632,0.98687094,0.017983554,true,0.05984545,true,3,10,81.68062,,,false
A7,S7,actb,Unknown,Amp,12.664932,12.602987,0.9891655,0.087603405,true,0.05984545,true,3,9,81.68062,,,false
A8,S8,actb,Unknown,Amp,12.144604,12.162756,0.98634696,0.025671814,true,0.05984545,true,3,8,81.68062,,,false
A9,S9,actb,Unknown,Amp,12.223692,12.121815,0.9898867,0.14407614,true,0.05984545,true,3,9,81.82049,,,false
A10,S10,actb,Unknown,Amp,12.840988,12.786583,0.99311864,0.07694127,true,0.05984545,true,3,9,81.82049,,,false
A11,S11,actb,Unknown,Amp,13.247063,13.172187,0.9854336,0.105890416,true,0.05984545,true,3,10,81.54076,,,false
A12,S12,actb,Unknown,Amp,13.645098,13.360212,0.9751027,0.4028888,true,0.05984545,true,3,10,80.421844,,,false
B1,S1,actb,Unknown,Amp,12.71973,12.911502,0.9852542,0.27120587,true,0.05984545,true,3,9,81.54076,,,false
B2,S2,actb,Unknown,Amp,13.194563,13.25736,0.9812298,0.08880914,true,0.05984545,true,3,10,81.400894,,,false
B3,S3,actb,Unknown,Amp,12.319911,12.331393,0.9902152,0.016238337,true,0.05984545,true,3,9,81.400894,,,false
B4,S4,actb,Unknown,Amp,14.239387,13.960811,0.9669137,0.3939658,true,0.05984545,true,3,11,81.12116,,,false
B5,S5,actb,Unknown,Amp,13.692891,13.699272,0.988886,0.009024146,true,0.05984545,true,3,10,81.68062,,,false
B6,S6,actb,Unknown,Amp,13.566348,13.553632,0.99353194,0.017983554,true,0.05984545,true,3,10,81.68062,,,false
B7,S7,actb,Unknown,Amp,12.541042,12.602987,0.9889598,0.087603405,true,0.05984545,true,3,9,81.68062,,,false
B8,S8,actb,Unknown,Amp,12.180909,12.162756,0.9826036,0.025671814,true,0.05984545,true,3,9,81.68062,,,false
B9,S9,actb,Unknown,Amp,12.0199375,12.121815,0.98694706,0.14407614,true,0.05984545,true,3,8,81.82049,,,false
B10,S10,actb,Unknown,Amp,12.732177,12.786583,0.993095,0.07694127,true,0.05984545,true,3,9,81.68062,,,false
B11,S11,actb,Unknown,Amp,13.097311,13.172187,0.9858267,0.105890416,true,0.05984545,true,3,9,81.54076,,,false
B12,S12,actb,Unknown,Amp,13.075327,13.360212,0.98577714,0.4028888,true,0.05984545,true,3,9,81.26103,,,false
C1,S1,Ub2l3,Unknown,Amp,17.75444,17.829319,0.98095626,0.10589311,true,0.06270008,true,3,14,80.421844,,,false
C2,S2,Ub2l3,Unknown,Amp,18.223248,18.258713,0.9764919,0.050154075,true,0.06270008,true,3,14,80.281975,,,false
C3,S3,Ub2l3,Unknown,Amp,17.352695,17.418205,0.9801871,0.09264619,true,0.06270008,true,3,14,80.281975,,,false
C4,S4,Ub2l3,Unknown,Amp,18.52891,18.496399,0.97519517,0.0459785,true,0.06270008,true,3,15,80.281975,,,false
C5,S5,Ub2l3,Unknown,Amp,18.416376,18.469362,0.9547496,0.07493372,true,0.06270008,true,3,15,80.56171,,,false
C6,S6,Ub2l3,Unknown,Amp,18.136925,18.12384,0.9845404,0.0185055,true,0.06270008,true,3,15,80.56171,,,false
C7,S7,Ub2l3,Unknown,Amp,17.770645,17.793463,0.97117704,0.032268975,true,0.06270008,true,3,14,80.56171,,,false
C8,S8,Ub2l3,Unknown,Amp,17.09645,17.127502,0.9616512,0.043913644,true,0.06270008,true,3,13,80.56171,,,false
C9,S9,Ub2l3,Unknown,Amp,17.181715,17.221657,0.97935814,0.05648487,true,0.06270008,true,3,14,80.56171,,,false
C10,S10,Ub2l3,Unknown,Amp,17.68298,17.82513,0.9733218,0.20103036,true,0.06270008,true,3,14,80.56171,,,false
C11,S11,Ub2l3,Unknown,Amp,18.10879,18.152828,0.96095645,0.06227888,true,0.06270008,true,3,14,80.281975,,,false
C12,S12,Ub2l3,Unknown,Amp,17.82282,17.832724,0.98629487,0.014004892,true,0.06270008,true,3,14,80.421844,,,false
D1,S1,Ub2l3,Unknown,Amp,17.904196,17.829319,0.96851116,0.10589311,true,0.06270008,true,3,14,80.421844,,,false
D2,S2,Ub2l3,Unknown,Amp,18.294176,18.258713,0.9668732,0.050154075,true,0.06270008,true,3,15,80.281975,,,false
D3,S3,Ub2l3,Unknown,Amp,17.483717,17.418205,0.9748815,0.09264619,true,0.06270008,true,3,14,80.281975,,,false
D4,S4,Ub2l3,Unknown,Amp,18.463886,18.496399,0.9753845,0.0459785,true,0.06270008,true,3,15,80.281975,,,false
D5,S5,Ub2l3,Unknown,Amp,18.522348,18.469362,0.9716325,0.07493372,true,0.06270008,true,3,15,80.421844,,,false
D6,S6,Ub2l3,Unknown,Amp,18.110754,18.12384,0.97871816,0.0185055,true,0.06270008,true,3,14,80.421844,,,false
D7,S7,Ub2l3,Unknown,Amp,17.81628,17.793463,0.96292585,0.032268975,true,0.06270008,true,3,14,80.421844,,,false
D8,S8,Ub2l3,Unknown,Amp,17.158554,17.127502,0.9798674,0.043913644,true,0.06270008,true,3,13,80.421844,,,false
D9,S9,Ub2l3,Unknown,Amp,17.261597,17.221657,0.97082555,0.05648487,true,0.06270008,true,3,14,80.56171,,,false
D10,S10,Ub2l3,Unknown,Amp,17.96728,17.82513,0.97179496,0.20103036,true,0.06270008,true,3,14,80.56171,,,false
D11,S11,Ub2l3,Unknown,Amp,18.196865,18.152828,0.98061496,0.06227888,true,0.06270008,true,3,15,80.14211,,,false
D12,S12,Ub2l3,Unknown,Amp,17.842627,17.832724,0.97380936,0.014004892,true,0.06270008,true,3,14,80.281975,,,false
E1,S1,SLC9A3R2-2,Unknown,Amp,31.064417,31.206669,0.9209833,0.20117602,true,0.06282861,true,3,27,81.68062,,,false
E2,S2,SLC9A3R2-2,Unknown,Amp,30.844536,30.566313,0.93511117,0.3934668,true,0.06282861,true,3,27,81.68062,,,false
E3,S3,SLC9A3R2-2,Unknown,Amp,30.443586,30.221462,0.8686699,0.31412956,true,0.06282861,true,3,26,81.54076,,,false
E4,S4,SLC9A3R2-2,Unknown,Amp,31.213453,30.85048,0.92697996,0.51332164,true,0.06282861,true,3,27,81.54076,,,false
E5,S5,SLC9A3R2-2,Unknown,Amp,31.65689,31.632938,0.9202233,0.03387258,true,0.06282861,true,3,28,81.82049,,,false
E6,S6,SLC9A3R2-2,Unknown,Amp,32.038425,32.003525,0.8934119,0.049355645,true,0.06282861,true,3,28,81.82049,,,false
E7,S7,SLC9A3R2-2,Unknown,Amp,29.880205,30.107862,0.88037294,0.32195607,true,0.06282861,true,3,26,81.68062,,,false
