Well,Sample,Target,Task,Amp Status,Ct,Ct Mean,Cq Confidence,Ct Standard Deviation,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Omit
A1,S25,actb,Unknown,Amp,13.605908,13.7117195,0.96807295,0.14963952,true,0.04892797,true,3,10,81.26271,,,false
A2,S26,actb,Unknown,Amp,13.800585,13.503075,0.98328847,0.4207422,true,0.04892797,true,3,11,81.542496,,,false
A3,S27,actb,Unknown,Amp,12.880083,13.067577,0.9931021,0.26515764,true,0.04892797,true,3,10,81.4026,,,false
A4,S28,actb,Unknown,Amp,13.728244,13.674028,0.9910739,0.0766722,true,0.04892797,true,3,10,81.4026,,,false
A5,S29,actb,Unknown,Amp,14.195238,14.303314,0.98956776,0.152842,true,0.04892797,true,3,11,81.82227,,,false
A6,S30,actb,Unknown,Amp,13.7476,13.757374,0.99122477,0.013822817,true,0.04892797,true,3,10,81.82227,,,false
A7,S31,actb,Unknown,Amp,13.579367,13.501676,0.9926187,0.109871775,true,0.04892797,true,3,10,81.68238,,,false
A8,S32,actb,Unknown,Amp,13.0779,13.064128,0.989278,0.019476565,true,0.04892797,true,3,10,81.82227,,,false
A9,S33,actb,Unknown,Amp,13.630004,13.483287,0.9889112,0.20748927,true,0.04892797,true,3,10,81.82227,,,false
A10,S34,actb,Unknown,Amp,13.686043,13.553558,0.985661,0.18736061,true,0.04892797,true,3,10,81.82227,,,false
A11,S35,actb,Unknown,Amp,13.506757,13.392399,0.99022406,0.1617259,true,0.04892797,true,3,10,81.542496,,,false
A12,S36,actb,Unknown,Amp,13.990752,13.915185,0.9756214,0.10686822,true,0.04892797,true,3,11,81.26271,,,false
B1,S25,actb,Unknown,Amp,13.817531,13.7117195,0.9854355,0.14963952,true,0.04892797,true,3,10,81.542496,,,false
B2,S26,actb,Unknown,Amp,13.205565,13.503075,0.99126554,0.4207422,true,0.04892797,true,3,10,81.68238,,,false
B3,S27,actb,Unknown,Amp,13.255073,13.067577,0.9871137,0.26515764,true,0.04892797,true,3,10,81.4026,,,false
B4,S28,actb,Unknown,Amp,13.619813,13.674028,0.98679954,0.0766722,true,0.04892797,true,3,10,81.4026,,,false
B5,S29,actb,Unknown,Amp,14.411389,14.303314,0.9734845,0.152842,true,0.04892797,true,3,11,81.68238,,,false
B6,S30,actb,Unknown,Amp,13.767148,13.757374,0.9914214,0.013822817,true,0.04892797,true,3,10,81.82227,,,false
B7,S31,actb,Unknown,Amp,13.423985,13.501676,0.9901623,0.109871775,true,0.04892797,true,3,10,81.68238,,,false
B8,S32,actb,Unknown,Amp,13.050356,13.064128,0.99145937,0.019476565,true,0.04892797,true,3,10,81.82227,,,false
