seqName	begin	end
NW_019942555.1	320001	321001
NW_019943024.1	212001	213001
NW_019943575.1	17001	18001
NW_019943662.1	46001	47001
NW_019943912.1	70001	71001
NW_019944000.1	20001	21001
NW_019944130.1	70001	71001
NW_019944970.1	137001	138001
NW_019944976.1	57001	58001
NW_019946183.1	13001	14001
NW_019946645.1	1001	2001
NW_019942558.1	810001	811001
NW_019946655.1	22001	23001
NW_019946655.1	41001	42001
NW_019947147.1	1	1001
NW_019947228.1	1	1001
NW_019947337.1	9001	10001
NW_019947593.1	10001	11001
NW_019954972.1	1	1001
NW_019957531.1	680001	681001
NW_019957535.1	1308001	1309001
NW_019957589.1	239001	240001
NW_019942632.1	379001	380001
NW_019957680.1	51001	52001
NW_019957703.1	66001	67001
NC_036838.1	19998001	19999001
NC_036838.1	27806001	27807001
NC_036839.1	9822001	9823001
NC_036839.1	32818001	32819001
NC_036839.1	32819001	32820001
NC_036842.1	28823001	28824001
NC_036842.1	62932001	62933001
NC_036842.1	70796001	70797001
NW_019942669.1	9001	10001
NC_036842.1	79753001	79754001
NC_036843.1	17207001	17208001
NC_036848.1	33059001	33060001
NC_036849.1	11733001	11734001
NC_036850.1	3939001	3940001
NC_036851.1	2219001	2220001
NC_036853.1	20819001	20820001
NC_036853.1	50964001	50965001
NC_036853.1	50965001	50966001
NC_036853.1	50966001	50967001
NW_019942675.1	94001	95001
NC_036853.1	50967001	50968001
NC_036853.1	50968001	50969001
NC_036854.1	23549001	23550001
NC_036854.1	36694001	36695001
NC_036855.1	9200001	9201001
NC_036855.1	12513001	12514001
NC_036857.1	37116001	37117001
NC_036857.1	39102001	39103001
NC_036857.1	39239001	39240001
NC_036857.1	41767001	41768001
NW_019942721.1	303001	304001
NC_036858.1	9989001	9990001
NC_036859.1	7264001	7265001
NC_036859.1	34108001	34109001
NC_036860.1	23039001	23040001
NC_036861.1	1515001	1516001
NC_036862.1	4725001	4726001
NC_036869.1	24753001	24754001
NC_036870.1	23024001	23025001
NC_036872.1	11006001	11007001
NC_036872.1	11007001	11008001
NW_019942747.1	312001	313001
NC_036875.1	8308001	8309001
NC_036876.1	19536001	19537001
NW_019942872.1	253001	254001
NW_019942874.1	212001	213001
NW_019942514.1	2792001	2793001
NW_019945774.1	54001	55001
NW_019946655.1	25001	26001
NW_019946715.1	10001	11001
NW_019947652.1	31001	32001
NW_019951255.1	5001	6001
NC_036840.1	6590001	6591001
NC_036842.1	2068001	2069001
NC_036851.1	30569001	30570001
NC_036857.1	11106001	11107001
NC_036857.1	29657001	29658001
NW_019942929.1	52001	53001
NC_036860.1	332001	333001
NC_036866.1	35656001	35657001
NC_036868.1	4731001	4732001
NC_036872.1	723001	724001
NC_036872.1	19702001	19703001
NC_036872.1	22840001	22841001
NW_019942929.1	53001	54001
NC_036875.1	26638001	26639001
NC_036876.1	18483001	18484001
NW_019944236.1	38001	39001
NW_019944672.1	68001	69001
NW_019942669.1	7001	8001
NW_019944564.1	30001	31001
NW_019946656.1	33001	34001
NW_019952633.1	1	1001
NW_019952667.1	2001	3001
NW_019942747.1	325001	326001
NW_019957703.1	67001	68001
NC_036838.1	53256001	53257001
NC_036840.1	18559001	18560001
NC_036845.1	594001	595001
NC_036847.1	19050001	19051001
NC_036847.1	19693001	19694001
NC_036850.1	6286001	6287001
