seqName	begin	end
NW_019944174.1	9001	10001
NW_019946655.1	41001	42001
NW_019947337.1	9001	10001
NW_019957652.1	17001	18001
NC_036853.1	50966001	50967001
NW_019943205.1	1001	2001
NC_036851.1	2219001	2220001
NC_036871.1	29506001	29507001
NC_036876.1	19536001	19537001
NC_036858.1	64900001	64901001
NW_019947652.1	31001	32001
NW_019957525.1	242001	243001
NC_036853.1	50965001	50966001
NC_036862.1	6846001	6847001
NW_019957585.1	40001	41001
NW_019957652.1	18001	19001
NC_036868.1	18078001	18079001
NW_019942730.1	1001	2001
NC_036844.1	3454001	3455001
NC_036839.1	22036001	22037001
NC_036857.1	39239001	39240001
NC_036860.1	74186001	74187001
NW_019944916.1	36001	37001
NW_019945573.1	6001	7001
NW_019948669.1	10001	11001
NC_036841.1	7669001	7670001
NC_036851.1	26497001	26498001
NC_036851.1	36277001	36278001
NW_019942914.1	238001	239001
NW_019944835.1	68001	69001
NC_036863.1	23356001	23357001
NC_036838.1	39341001	39342001
NC_036841.1	12406001	12407001
NW_019942604.1	181001	182001
NW_019957652.1	19001	20001
NC_036838.1	27806001	27807001
NC_036842.1	29405001	29406001
NC_036845.1	23352001	23353001
NW_019942669.1	9001	10001
NW_019942922.1	163001	164001
NW_019943690.1	15001	16001
NW_019947147.1	1	1001
NW_019947337.1	10001	11001
NW_019943482.1	42001	43001
NW_019944324.1	50001	51001
NW_019944976.1	58001	59001
NW_019945308.1	27001	28001
NW_019946095.1	29001	30001
NW_019946553.1	5001	6001
NW_019946988.1	43001	44001
NW_019942868.1	417001	418001
NC_036850.1	7487001	7488001
NC_036853.1	50964001	50965001
NC_036854.1	19415001	19416001
NC_036858.1	61878001	61879001
NC_036868.1	16684001	16685001
NC_036876.1	1195001	1196001
NW_019947409.1	15001	16001
NW_019949599.1	8001	9001
NC_036838.1	1547001	1548001
NC_036838.1	51819001	51820001
NC_036849.1	18769001	18770001
NC_036848.1	48028001	48029001
NW_019951751.1	1	1001
NC_036857.1	25327001	25328001
NC_036848.1	17280001	17281001
NC_036864.1	10204001	10205001
NW_019944970.1	137001	138001
NW_019948814.1	4001	5001
NW_019948814.1	5001	6001
NC_036840.1	18559001	18560001
NC_036849.1	10933001	10934001
NC_036853.1	50967001	50968001
NC_036854.1	36694001	36695001
NC_036866.1	35656001	35657001
NC_036872.1	5801001	5802001
NW_019942523.1	11001	12001
NW_019943690.1	14001	15001
NC_036875.1	8928001	8929001
NC_036842.1	80971001	80972001
NW_019952633.1	1	1001
NW_019957589.1	239001	240001
NC_036870.1	25106001	25107001
NC_036843.1	19525001	19526001
NC_036848.1	11148001	11149001
NC_036858.1	64857001	64858001
NW_019942657.1	4001	5001
NC_036853.1	20050001	20051001
NC_036858.1	39718001	39719001
NC_036858.1	56253001	56254001
NW_019944574.1	19001	20001
NW_019944660.1	74001	75001
NW_019946489.1	9001	10001
NC_036846.1	27001	28001
NC_036849.1	4749001	4750001
NW_019942721.1	303001	304001
NC_036867.1	2054001	2055001
NC_036867.1	2055001	2056001
NC_036865.1	21254001	21255001
NC_036868.1	25024001	25025001
NW_019949317.1	10001	11001
NC_036838.1	54895001	54896001
NC_036842.1	62921001	62922001
NC_036851.1	2218001	2219001
NC_036858.1	15871001	15872001
NW_019945755.1	44001	45001
NC_036843.1	19530001	19531001
NC_036860.1	54990001	54991001
NW_019946545.1	58001	59001
NC_036842.1	12829001	12830001
NC_036848.1	48029001	48030001
NW_019943136.1	50001	51001
NW_019945121.1	34001	35001
NC_036848.1	26151001	26152001
NC_036867.1	28906001	28907001
NC_036838.1	16868001	16869001
NC_036839.1	38434001	38435001
NC_036842.1	56551001	56552001
NW_019942727.1	115001	116001
NC_036848.1	26850001	26851001
NC_036855.1	64253001	64254001
NC_036856.1	8286001	8287001
NC_036859.1	25682001	25683001
NC_036863.1	15314001	15315001
NC_036865.1	6146001	6147001
NW_019943232.1	205001	206001
NC_036868.1	11550001	11551001
NC_036870.1	1028001	1029001
NC_036875.1	6613001	6614001
NW_019943617.1	82001	83001
NW_019946019.1	43001	44001
NW_019947408.1	1	1001
NW_019942669.1	7001	8001
NC_036846.1	10531001	10532001
NC_036869.1	6124001	6125001
NW_019944284.1	49001	50001
NW_019947187.1	13001	14001
NW_019950957.1	2001	3001
NC_036840.1	6590001	6591001
NC_036858.1	11864001	11865001
