"Residue","Morph_pvalue","Timepoint_pvalue","Sex_pvalue","MorphXTimepoint_pvalue","MorphXSex_pvalue","TimepointXSex_pvalue","start","NCBI","Morph_pvalue_corrected","Timepoint_pvalue_corrected","Sex_pvalue_corrected","MorphXTimepoint_pvalue_corrected"
"chr019942514.1_1436412",0.222269010476035,1.02600891728222e-06,0.0409939575308718,0.851195027729333,0.011589385128588,0.350731462660869,"1436412","NW_019942514.1",1,0.0106089322046982,1,1
"chr019942514.1_1436449",0.00114891570809872,8.25514581655636e-09,0.577003700674276,0.220533311264255,0.120308474588105,0.18345994930625,"1436449","NW_019942514.1",1,8.53582077431927e-05,1,1
"chr019942531.1_433716",0.468521653404577,1.50187104782409e-11,0.152638494542715,0.00076656883297821,0.0700515588163032,0.485546581154073,"433716","NW_019942531.1",1,1.55293466345011e-07,1,1
"chr019942531.1_504835",0.0470711589105524,1.29950508334413e-06,0.250431567849784,0.296283795667552,0.729916276474857,0.907175479595178,"504835","NW_019942531.1",1,0.0134368825617783,1,1
"chr019942531.1_504853",0.00234377800005933,5.24321304140325e-07,0.839021276178644,6.74591747018811e-05,0.810136026910585,0.310214540395095,"504853","NW_019942531.1",1,0.00542148228481096,1,0.697527866417451
"chr019942554.1_22432",0.749998077103768,1.39643867369827e-06,0.000693305613004396,0.470125736467727,0.122609900724394,0.666521856953477,"22432","NW_019942554.1",1,0.0144391758860401,1,1
"chr019942555.1_320774",0.00615785878220089,6.44587027806627e-07,0.272535500687865,1.81989906721012e-06,0.0700382622540429,0.104543146834799,"320774","NW_019942555.1",1,0.00666502986752052,1,0.0188177563549526
"chr019942592.1_714578",0.464442496594751,5.14178310421593e-11,0.0216854682933303,0.591575769129153,0.00121000556573569,0.319703106480709,"714578","NW_019942592.1",1,5.31660372975927e-07,1,1
"chr019942604.1_178263",0.45073498559225,9.99059129020085e-07,0.307848828813959,1.84052419277808e-06,0.0133228323319069,0.0297166757454318,"178263","NW_019942604.1",1,0.0103302713940677,1,0.0190310201533253
"chr019942604.1_179149",0.900101631385871,5.0373517541363e-07,0.373112504277868,0.748861089567944,0.898611768430387,0.316553876917088,"179149","NW_019942604.1",1,0.00520862171377694,1,1
