name	scaff	start	end
LOC112068329	chr019942555.1	320001	321001
LOC112071389	chr019943024.1	212001	213001
LOC112073377	chr019943575.1	17001	18001
LOC112073686	chr019943662.1	46001	47001
LOC112074366	chr019943912.1	70001	71001
NW_019944000.1_20001	chr019944000.1	20001	21001
NW_019944130.1_70001	chr019944130.1	70001	71001
LOC112076326	chr019944970.1	137001	138001
tRNA_valine_(anticodonAAC)	chr019944976.1	57001	58001
LOC112077787	chr019946183.1	13001	14001
LOC112078193	chr019946645.1	1001	2001
LOC111955876	chr019942558.1	810001	811001
NW_019946655.1_22001	chr019946655.1	22001	23001
NW_019946655.1_41001	chr019946655.1	41001	42001
LOC112078566	chr019947147.1	1	1001
NW_019947228.1_1	chr019947228.1	1	1001
NW_019947337.1_9001	chr019947337.1	9001	10001
NW_019947593.1_10001	chr019947593.1	10001	11001
NW_019954972.1_1	chr019954972.1	1	1001
LOC112080403	chr019957531.1	680001	681001
LOC112080462	chr019957535.1	1308001	1309001
LOC112080706	chr019957589.1	239001	240001
LOC112069034	chr019942632.1	379001	380001
LOC112080981	chr019957680.1	51001	52001
LOC112081032	chr019957703.1	66001	67001
LOC111962247	NC_036838.1	19998001	19999001
LOC111963368	NC_036838.1	27806001	27807001
LOC111974119	NC_036839.1	9822001	9823001
LOC111971565	NC_036839.1	32818001	32819001
LOC111971565	NC_036839.1	32819001	32820001
LOC111961790	NC_036842.1	28823001	28824001
LOC111962341	NC_036842.1	62932001	62933001
LOC111962476	NC_036842.1	70796001	70797001
LOC112069314	chr019942669.1	9001	10001
LOC111962594	NC_036842.1	79753001	79754001
lg4q.2h14orf132	NC_036843.1	17207001	17208001
LOC111967759	NC_036848.1	33059001	33060001
LOC111968993	NC_036849.1	11733001	11734001
LOC111969554	NC_036850.1	3939001	3940001
abra	NC_036851.1	2219001	2220001
LOC111971876	NC_036853.1	20819001	20820001
LOC111971647	NC_036853.1	50964001	50965001
LOC111971648	NC_036853.1	50965001	50966001
LOC111971885	NC_036853.1	50966001	50967001
tRNA_proline_(anticodonUGG)	chr019942675.1	94001	95001
LOC111971649	NC_036853.1	50967001	50968001
LOC111971649	NC_036853.1	50968001	50969001
LOC111972726	NC_036854.1	23549001	23550001
ntng1	NC_036854.1	36694001	36695001
LOC111974640	NC_036855.1	9200001	9201001
LOC111974125	NC_036855.1	12513001	12514001
LOC111976586	NC_036857.1	37116001	37117001
LOC111976345	NC_036857.1	39102001	39103001
LOC111977116	NC_036857.1	39239001	39240001
LOC111977305	NC_036857.1	41767001	41768001
LOC112069694	chr019942721.1	303001	304001
LOC111977797	NC_036858.1	9989001	9990001
LOC111978873	NC_036859.1	7264001	7265001
cdc73	NC_036859.1	34108001	34109001
LOC111980376	NC_036860.1	23039001	23040001
LOC111982472	NC_036861.1	1515001	1516001
LOC111949699	NC_036862.1	4725001	4726001
LOC111955200	NC_036869.1	24753001	24754001
LOC111955604	NC_036870.1	23024001	23025001
LOC111958098	NC_036872.1	11006001	11007001
LOC111958098	NC_036872.1	11007001	11008001
LOC112069857	chr019942747.1	312001	313001
LOC111959875	NC_036875.1	8308001	8309001
col25a1	NC_036876.1	19536001	19537001
tRNA_isoleucine_(anticodonAAU)	chr019942872.1	253001	254001
LOC112070662	chr019942874.1	212001	213001
LOC112068083	chr019942514.1	2792001	2793001
LOC112077381	chr019945774.1	54001	55001
NW_019946655.1_25001	chr019946655.1	25001	26001
NW_019946715.1_10001	chr019946715.1	10001	11001
NW_019947652.1_31001	chr019947652.1	31001	32001
LOC112079873	chr019951255.1	5001	6001
fbh1	NC_036840.1	6590001	6591001
LOC111961235	NC_036842.1	2068001	2069001
LOC111970155	NC_036851.1	30569001	30570001
LOC111976454	NC_036857.1	11106001	11107001
LOC111976241	NC_036857.1	29657001	29658001
LOC112070958	chr019942929.1	52001	53001
LOC111980429	NC_036860.1	332001	333001
LOC111952570	NC_036866.1	35656001	35657001
LOC111954061	NC_036868.1	4731001	4732001
LOC111958069	NC_036872.1	723001	724001
LOC112067915	NC_036872.1	19702001	19703001
LOC111958168	NC_036872.1	22840001	22841001
LOC112070958	chr019942929.1	53001	54001
LOC111959246	NC_036875.1	26638001	26639001
LOC111960330	NC_036876.1	18483001	18484001
LOC112075022	chr019944236.1	38001	39001
NW_019944672.1_68001	chr019944672.1	68001	69001
LOC112069314	chr019942669.1	7001	8001
LOC112075615	chr019944564.1	30001	31001
LOC112078211	chr019946656.1	33001	34001
NW_019952633.1_1	chr019952633.1	1	1001
NW_019952667.1_2001	chr019952667.1	2001	3001
LOC112069857	chr019942747.1	325001	326001
LOC112081032	chr019957703.1	67001	68001
LOC111969907	NC_036838.1	53256001	53257001
LOC111956268	NC_036840.1	18559001	18560001
LOC111964824	NC_036845.1	594001	595001
ajap1	NC_036847.1	19050001	19051001
LOC111966937	NC_036847.1	19693001	19694001
LOC111969208	NC_036850.1	6286001	6287001
efna5	NC_036855.1	35528001	35529001
LOC112070949	chr019942925.1	128001	129001
LOC111975301	NC_036856.1	13543001	13544001
LOC111977496	NC_036858.1	1084001	1085001
zfpm2	NC_036874.1	3430001	3431001
LOC112071715	chr019943090.1	105001	106001
LOC112072088	chr019943193.1	14001	15001
LOC112072110	chr019943197.1	14001	15001
LOC112072777	chr019943382.1	17001	18001
LOC112073800	chr019943695.1	153001	154001
LOC112072302	chr019943246.1	232001	233001
LOC111969707	NC_036838.1	52339001	52340001
LOC111963166	NC_036843.1	5281001	5282001
LOC111963351	NC_036843.1	13605001	13606001
LOC111964695	NC_036845.1	19089001	19090001
LOC111966564	NC_036847.1	20588001	20589001
LOC111967519	NC_036848.1	15393001	15394001
LOC111968882	NC_036849.1	26384001	26385001
rnf111	NC_036850.1	16335001	16336001
LOC111971036	NC_036852.1	11425001	11426001
LOC111973108	NC_036854.1	43786001	43787001
LOC111974302	NC_036855.1	49658001	49659001
LOC111975447	NC_036856.1	8582001	8583001
LOC112075818	chr019944696.1	9001	10001
nphp4	NC_036857.1	17813001	17814001
plekha4	NC_036858.1	15194001	15195001
LOC111981890	NC_036860.1	7897001	7898001
LOC111980729	NC_036860.1	26515001	26516001
LOC111981966	NC_036860.1	32711001	32712001
LOC111949633	NC_036862.1	6747001	6748001
LOC111949621	NC_036862.1	22389001	22390001
LOC111982659	NC_036862.1	24230001	24231001
LOC111950467	NC_036863.1	12468001	12469001
LOC111952266	NC_036866.1	9090001	9091001
LOC112076126	chr019944865.1	43001	44001
LOC111953739	NC_036867.1	9941001	9942001
LOC111954486	NC_036868.1	27349001	27350001
LOC111955733	NC_036870.1	13227001	13228001
LOC112067960	NC_036874.1	15117001	15118001
tRNA_alanine_(anticodonCGC)	NC_036875.1	6208001	6209001
tanc1	NC_036875.1	9806001	9807001
LOC111959647	NC_036875.1	16315001	16316001
LOC112076855	chr019945363.1	10001	11001
mrps33	chr019946856.1	29001	30001
NW_019947099.1_21001	chr019947099.1	21001	22001
LOC111969161	NC_036850.1	30001	31001
LOC111969237	NC_036850.1	7487001	7488001
eno4	NC_036858.1	34309001	34310001
LOC111981463	NC_036860.1	10197001	10198001
LOC111951100	NC_036863.1	46467001	46468001
LOC111957498	NC_036872.1	19027001	19028001
LOC111957439	NC_036872.1	35657001	35658001
LOC112072732	chr019943363.1	46001	47001
NW_019943980.1_5001	chr019943980.1	5001	6001
NW_019946489.1_9001	chr019946489.1	9001	10001
LOC111968562	NC_036849.1	10931001	10932001
cmpk2	chr019942514.1	4759001	4760001
LOC111958477	chr019944279.1	71001	72001
LOC112076409	chr019945011.1	50001	51001
fbxo40	chr019945941.1	14001	15001
NW_019946848.1_9001	chr019946848.1	9001	10001
LOC112068301	chr019942548.1	402001	403001
LOC112078427	chr019946938.1	7001	8001
NW_019947105.1_5001	chr019947105.1	5001	6001
LOC112080620	chr019957565.1	1104001	1105001
LOC112080902	chr019957652.1	18001	19001
LOC112080902	chr019957652.1	19001	20001
LOC111962397	NC_036838.1	21150001	21151001
LOC112068739	chr019942592.1	356001	357001
fhit	NC_036838.1	43676001	43677001
LOC111978577	NC_036838.1	55356001	55357001
LOC111974293	NC_036839.1	11219001	11220001
LOC111977983	NC_036839.1	29941001	29942001
LOC111971941	NC_036839.1	41684001	41685001
LOC111951182	NC_036840.1	13462001	13463001
LOC111952471	NC_036840.1	21684001	21685001
LOC111960913	NC_036842.1	34496001	34497001
LOC111964018	NC_036844.1	18912001	18913001
LOC111968708	NC_036849.1	17118001	17119001
LOC111969806	NC_036851.1	11535001	11536001
LOC111970155	NC_036851.1	30570001	30571001
LOC111973019	NC_036854.1	7163001	7164001
LOC112070158	chr019942793.1	84001	85001
LOC111977027	NC_036857.1	3438001	3439001
LOC111978135	NC_036858.1	9055001	9056001
LOC111977406	NC_036858.1	56253001	56254001
LOC111979433	NC_036859.1	10963001	10964001
LOC111982133	NC_036860.1	54354001	54355001
LOC111980014	NC_036860.1	55962001	55963001
LOC111982533	NC_036862.1	1353001	1354001
LOC112070460	chr019942846.1	252001	253001
LOC111950848	NC_036863.1	8106001	8107001
LOC111950261	NC_036863.1	15686001	15687001
LOC111953159	NC_036867.1	28906001	28907001
med10	NC_036869.1	7784001	7785001
LOC111956976	NC_036871.1	14120001	14121001
LOC111958373	NC_036873.1	7536001	7537001
nars2	chr019943087.1	3001	4001
LOC111960022	NC_036876.1	1195001	1196001
LOC112073214	chr019943517.1	14001	15001
LOC111961096	NC_036842.1	17839001	17840001
ajap1	NC_036847.1	19049001	19050001
abra	NC_036851.1	2218001	2219001
LOC111971654	NC_036853.1	20133001	20134001
LOC111976756	NC_036857.1	17674001	17675001
LOC111982311	NC_036861.1	1369001	1370001
LOC112069857	chr019942747.1	323001	324001
LOC111951489	NC_036864.1	234001	235001
LOC111951843	NC_036865.1	21254001	21255001
LOC111952128	NC_036866.1	41353001	41354001
LOC111960007	NC_036876.1	8226001	8227001
LOC112070949	chr019942925.1	120001	121001
LOC112071717	chr019943092.1	90001	91001
LOC112076251	chr019944923.1	38001	39001
NW_019946655.1_23001	chr019946655.1	23001	24001
NW_019946655.1_24001	chr019946655.1	24001	25001
LOC112069370	chr019942677.1	185001	186001
LOC111972251	NC_036853.1	19414001	19415001
LOC111972866	NC_036854.1	1257001	1258001
LOC111981263	NC_036860.1	52574001	52575001
NW_019947025.1_32001	chr019947025.1	32001	33001
NW_019947025.1_33001	chr019947025.1	33001	34001
NW_019953566.1_1001	chr019953566.1	1001	2001
LOC112081245	NC_036838.1	30006001	30007001
LOC111965996	NC_036846.1	22755001	22756001
LOC112070662	chr019942874.1	213001	214001
LOC112072107	chr019943197.1	222001	223001
LOC111971960	chr019943232.1	205001	206001
LOC112072395	chr019943272.1	64001	65001
LOC112073556	chr019943618.1	174001	175001
NW_019944772.1_49001	chr019944772.1	49001	50001
LOC112068820	chr019942604.1	181001	182001
LOC112076253	chr019944925.1	41001	42001
LOC112067792	chr019945272.1	15001	16001
LOC112077716	chr019946126.1	27001	28001
LOC112078499	chr019947018.1	21001	22001
LOC112078499	chr019947018.1	22001	23001
LOC112078570	chr019947147.1	12001	13001
LOC112079015	chr019947960.1	50001	51001
LOC112080376	chr019957527.1	96001	97001
LOC112080376	chr019957527.1	98001	99001
LOC111971969	NC_036839.1	42797001	42798001
LOC111960841	NC_036842.1	19256001	19257001
LOC111961137	NC_036842.1	45957001	45958001
LOC112069615	chr019942711.1	306001	307001
LOC111961137	NC_036842.1	45976001	45977001
qrsl1	NC_036843.1	2511001	2512001
LOC111966749	NC_036847.1	27436001	27437001
LOC111968191	NC_036848.1	19503001	19504001
LOC111968472	NC_036849.1	5161001	5162001
LOC112069693	chr019942721.1	155001	156001
LOC111970450	NC_036851.1	44198001	44199001
LOC111971654	NC_036853.1	20134001	20135001
LOC111971341	NC_036853.1	50969001	50970001
LOC111973470	NC_036854.1	46383001	46384001
LOC111977020	NC_036857.1	23171001	23172001
LOC111976279	NC_036857.1	26094001	26095001
LOC111977297	NC_036857.1	41768001	41769001
LOC111978430	NC_036858.1	39718001	39719001
tRNA_glycine_(anticodonUCC)	NC_036859.1	27070001	27071001
LOC111951204	NC_036863.1	5175001	5176001
LOC111950847	NC_036863.1	23355001	23356001
LOC112069857	chr019942747.1	348001	349001
LOC111954566	NC_036868.1	25026001	25027001
LOC111955687	NC_036870.1	1950001	1951001
LOC111956047	NC_036870.1	6401001	6402001
LOC111955894	NC_036870.1	19671001	19672001
LOC111956362	NC_036871.1	23891001	23892001
LOC111957164	NC_036871.1	29506001	29507001
LOC111958051	NC_036872.1	10391001	10392001
LOC111957993	NC_036872.1	11892001	11893001
trmt2a	NC_036872.1	26483001	26484001
LOC111959710	NC_036875.1	6613001	6614001
LOC111964129	NC_036844.1	26361001	26362001
LOC111966395	NC_036847.1	11891001	11892001
itga3	NC_036858.1	11864001	11865001
LOC111980282	NC_036860.1	73076001	73077001
LOC111956211	NC_036870.1	1028001	1029001
LOC111957248	NC_036871.1	29370001	29371001
LOC111958541	NC_036874.1	855001	856001
LOC112079234	chr019948565.1	9001	10001
LOC111971021	NC_036838.1	8616001	8617001
LOC111961137	NC_036842.1	45908001	45909001
LOC111968410	NC_036849.1	531001	532001
LOC111968562	NC_036849.1	10933001	10934001
LOC111982811	NC_036862.1	28683001	28684001
LOC111951670	NC_036865.1	59001	60001
LOC111954408	NC_036868.1	10316001	10317001
LOC111956480	NC_036871.1	21214001	21215001
LOC112075582	chr019944535.1	78001	79001
NW_019947187.1_13001	chr019947187.1	13001	14001
NW_019953584.1_1001	chr019953584.1	1001	2001
LOC112072150	chr019943205.1	1001	2001
NW_019943782.1_69001	chr019943782.1	69001	70001
LOC112076326	chr019944970.1	136001	137001
NW_019945856.1_77001	chr019945856.1	77001	78001
NW_019953566.1_2001	chr019953566.1	2001	3001
LOC112068375	chr019942558.1	955001	956001
LOC111969075	NC_036838.1	48802001	48803001
LOC111974206	NC_036839.1	10428001	10429001
LOC111974282	NC_036839.1	10882001	10883001
LOC111967636	NC_036848.1	26151001	26152001
tRNA_proline_(anticodonUGG)	chr019942675.1	95001	96001
LOC111969647	NC_036851.1	1579001	1580001
LOC111970676	NC_036851.1	28191001	28192001
LOC111971163	NC_036853.1	11463001	11464001
LOC112069779	chr019942734.1	48001	49001
LOC111973300	NC_036854.1	23112001	23113001
LOC111974393	NC_036855.1	47404001	47405001
LOC112069857	chr019942747.1	309001	310001
LOC111978815	NC_036858.1	15871001	15872001
LOC111978311	NC_036858.1	59384001	59385001
LOC111982089	NC_036860.1	17383001	17384001
LOC111980328	NC_036860.1	42744001	42745001
LOC111963747	chr019942914.1	238001	239001
LOC111982811	NC_036862.1	28681001	28682001
LOC111950801	NC_036863.1	13578001	13579001
LOC111951843	NC_036865.1	21253001	21254001
LOC111951744	NC_036865.1	24650001	24651001
LOC111952937	NC_036866.1	16496001	16497001
LOC112070991	chr019942939.1	197001	198001
LOC111955512	NC_036870.1	16570001	16571001
tRNA_valine_(anticodonUAC)	NC_036875.1	30098001	30099001
stam2	NC_036875.1	33606001	33607001
LOC111960109	NC_036876.1	6158001	6159001
LOC112071374	chr019943020.1	20001	21001
alkbh7	chr019946533.1	61001	62001
LOC112079356	chr019948957.1	8001	9001
LOC112081025	chr019957698.1	222001	223001
cntn2	NC_036838.1	26005001	26006001
LOC111953774	NC_036840.1	26369001	26370001
LOC111961398	NC_036842.1	9854001	9855001
s1pr2	chr019942971.1	54001	55001
LOC111961133	NC_036842.1	43316001	43317001
LOC111963439	NC_036843.1	19820001	19821001
LOC111963858	NC_036844.1	8936001	8937001
LOC111965453	NC_036846.1	69001	70001
LOC111967817	NC_036848.1	35015001	35016001
LOC111971654	NC_036853.1	20144001	20145001
LOC111974255	NC_036855.1	40157001	40158001
LOC111975548	NC_036856.1	4235001	4236001
LOC111975624	NC_036856.1	8286001	8287001
mafb	NC_036857.1	4619001	4620001
LOC111980011	NC_036860.1	54990001	54991001
LOC111980514	NC_036860.1	73535001	73536001
LOC111955262	NC_036869.1	14839001	14840001
LOC111958271	NC_036872.1	34799001	34800001
LOC112075618	chr019944574.1	19001	20001
LOC112077550	chr019945948.1	14001	15001
LOC112077671	chr019946085.1	124001	125001
LOC112081114	NC_036846.1	10531001	10532001
LOC111968629	NC_036849.1	14447001	14448001
LOC111970411	NC_036851.1	40913001	40914001
LOC111976316	NC_036857.1	29554001	29555001
LOC111978462	NC_036858.1	39008001	39009001
LOC111979020	NC_036859.1	17121001	17122001
eif4ebp2	NC_036865.1	23945001	23946001
LOC111953085	NC_036866.1	12434001	12435001
LOC111953336	NC_036867.1	13665001	13666001
LOC111954346	NC_036868.1	9484001	9485001
NW_019950840.1_3001	chr019950840.1	3001	4001
LOC111955959	NC_036870.1	16247001	16248001
LOC112080559	chr019957557.1	527001	528001
cmss1	NC_036839.1	38374001	38375001
LOC111963473	NC_036843.1	21887001	21888001
LOC111964483	NC_036844.1	9555001	9556001
LOC111964499	NC_036844.1	13699001	13700001
LOC111965367	NC_036845.1	26482001	26483001
LOC112076318	chr019944967.1	23001	24001
LOC112077177	chr019945627.1	16001	17001
NW_019946066.1_10001	chr019946066.1	10001	11001
LOC111961339	NC_036838.1	12041001	12042001
LOC111962587	NC_036842.1	78905001	78906001
LOC111965085	NC_036845.1	11935001	11936001
LOC111966006	NC_036846.1	23749001	23750001
LOC112067727	chr019942801.1	258001	259001
tfeb	NC_036851.1	24113001	24114001
LOC111970311	NC_036851.1	36277001	36278001
LOC111982191	NC_036860.1	49328001	49329001
LOC111957062	NC_036871.1	7026001	7027001
LOC112074509	chr019943971.1	5001	6001
