"Residue","Morph_pvalue","Timepoint_pvalue","Sex_pvalue","MorphXTimepoint_pvalue","MorphXSex_pvalue","TimepointXSex_pvalue","start","NCBI","Morph_pvalue_corrected","Timepoint_pvalue_corrected","Sex_pvalue_corrected","MorphXTimepoint_pvalue_corrected"
"chr000861.1_8812",0.00321504261286928,0.201403850448461,0.753696126992461,3.03127524816947e-07,2.55408959934288e-14,0.0632861297615764,"8812","NC_000861.1",1,1,1,0.00313433860660723
"chr019942555.1_320774",0.00615785878220089,6.44587027806627e-07,0.272535500687865,1.81989906721012e-06,0.0700382622540429,0.104543146834799,"320774","NW_019942555.1",1,0.00666502986752052,1,0.0188177563549526
"chr019942555.1_320793",0.0145458268515235,1.38060777257666e-05,0.227698588286369,1.15830296046482e-07,0.0254625754488529,1.1504992968662e-05,"320793","NW_019942555.1",1,0.142754843684426,1,0.00119768526112063
"chr019942604.1_178263",0.45073498559225,9.99059129020085e-07,0.307848828813959,1.84052419277808e-06,0.0133228323319069,0.0297166757454318,"178263","NW_019942604.1",1,0.0103302713940677,1,0.0190310201533253
"chr019942963.1_16146",0.173812895496138,0.118515012243262,0.290646149898803,2.00317446622606e-06,0.474142597574361,0.0303484540191857,"16146","NW_019942963.1",1,1,1,0.0207128239807775
"chr019943575.1_5344",0.00688564183550677,4.55492591329588e-08,0.0297030581622894,2.80691399014691e-06,1.53209082882825e-06,0.0556949474284936,"5344","NW_019943575.1",1,0.000470979339434794,1,0.029023490658119
"chr019945270.1_25005",0.000531107975773,1.07946777815243e-22,0.606566702435192,1.02630896722849e-10,0.000105499514044169,0.000107741851911454,"25005","NW_019945270.1",1,1.11616968260961e-18,1,1.06120347211426e-06
"chr019949211.1_13754",0.00315441307284344,0.00654080786655271,0.746093711523003,9.73504898037023e-14,3.47528014168592e-09,6.31756134040051e-07,"13754","NW_019949211.1",1,1,1,1.00660406457028e-09
"chr019952973.1_555",4.25797291974149e-05,6.34294555289687e-28,0.846884294937833,8.64738635866587e-11,0.400794840521653,0.627038872173019,"555","NW_019952973.1",0.44027439990127,6.55860570169536e-24,1,8.94139749486051e-07
"chr019952973.1_1281",0.000673898590177782,2.22191372744465e-28,0.387881750756202,2.78582587087044e-07,0.189012838814939,0.868334520161313,"1281","NW_019952973.1",1,2.29745879417777e-24,1,0.00288054395048003
"chr019957531.1_179955",0.0374534699597935,0.360494807781623,0.15928863132164,4.17460798607721e-06,0.313360501948703,0.137848312667865,"179955","NW_019957531.1",1,1,1,0.0431654465760384
"chr036838.1_27806928",0.16923589358058,5.95848912567613e-05,0.948432760402432,4.13738851043864e-09,0.476156015778358,0.0771386418052126,"27806928","NC_036838.1",1,0.616107775594911,1,4.27805971979356e-05
"chr036839.1_10883089",0.590830345107058,0.212692031053682,0.322195356523187,8.88688142996003e-07,0.0359719412077952,0.153067861552138,"10883089","NC_036839.1",1,1,1,0.00918903539857867
"chr036842.1_35748366",0.0208693546077021,0.00173439257722743,0.692541441486535,1.70420098853634e-06,0.442642852670751,0.930342355163128,"35748366","NC_036842.1",1,1,1,0.0176214382214657
"chr036842.1_53499118",2.60317486401759e-14,1.04913784715283e-56,0.332461317915711,1.28867922821275e-25,0.0487449237561827,0.399186299820544,"53499118","NC_036842.1",2.69168280939418e-10,1.08480853395602e-52,1,1.33249432197198e-21
"chr036842.1_53499131",4.71243039533117e-17,3.2141013166858e-66,0.360770815253944,3.58770791629216e-30,0.0600537372003965,0.899535709980446,"53499131","NC_036842.1",4.87265302877243e-13,3.32338076145312e-62,1,3.70968998544609e-26
"chr036843.1_16991824",0.000476907662856581,1.8926049062572e-10,0.487013335710053,3.27784367278675e-11,0.02661246600518,0.0257825511587786,"16991824","NC_036843.1",1,1.95695347306994e-06,1,3.3892903576615e-07
"chr036845.1_22028820",0.497680934865579,0.208808007234249,0.37988540702533,9.61690201258367e-07,0.0349942960528928,0.0618755389316066,"22028820","NC_036845.1",1,1,1,0.00994387668101151
"chr036847.1_19048253",4.6156825930492e-09,2.42430159998022e-15,0.0607853497701763,3.01847650643631e-08,0.732713093894483,0.0164160590567693,"19048253","NC_036847.1",4.77261580121287e-05,2.50672785437955e-11,1,0.000312110470765514
