seqName	begin	end
NC_000861.1	1	1000
NC_000861.1	10001	11000
NC_000861.1	1001	2000
NC_000861.1	11001	12000
NC_000861.1	12001	13000
NC_000861.1	13001	14000
NC_000861.1	14001	15000
NC_000861.1	15001	16000
NC_000861.1	16001	17000
NC_000861.1	2001	3000
NC_000861.1	3001	4000
NC_000861.1	4001	5000
NC_000861.1	5001	6000
NC_000861.1	6001	7000
NC_000861.1	7001	8000
NC_000861.1	8001	9000
NC_000861.1	9001	10000
NC_036838.1	10133001	10134000
NC_036838.1	10136001	10137000
NC_036838.1	10287001	10288000
NC_036838.1	10299001	10300000
NC_036838.1	10391001	10392000
NC_036838.1	10392001	10393000
NC_036838.1	10398001	10399000
NC_036838.1	10406001	10407000
NC_036838.1	10407001	10408000
NC_036838.1	10437001	10438000
NC_036838.1	10447001	10448000
NC_036838.1	10739001	10740000
NC_036838.1	10762001	10763000
NC_036838.1	11022001	11023000
NC_036838.1	11025001	11026000
NC_036838.1	11041001	11042000
NC_036838.1	11051001	11052000
NC_036838.1	11170001	11171000
NC_036838.1	11171001	11172000
NC_036838.1	11183001	11184000
NC_036838.1	11307001	11308000
NC_036838.1	11525001	11526000
NC_036838.1	11526001	11527000
NC_036838.1	11560001	11561000
NC_036838.1	11579001	11580000
NC_036838.1	11585001	11586000
NC_036838.1	11590001	11591000
NC_036838.1	11591001	11592000
NC_036838.1	11620001	11621000
NC_036838.1	11634001	11635000
NC_036838.1	11714001	11715000
NC_036838.1	11739001	11740000
NC_036838.1	11742001	11743000
NC_036838.1	11797001	11798000
NC_036838.1	11838001	11839000
NC_036838.1	11850001	11851000
NC_036838.1	11885001	11886000
NC_036838.1	11934001	11935000
NC_036838.1	12041001	12042000
NC_036838.1	12054001	12055000
NC_036838.1	12134001	12135000
NC_036838.1	12163001	12164000
NC_036838.1	12189001	12190000
NC_036838.1	12391001	12392000
NC_036838.1	12402001	12403000
NC_036838.1	12416001	12417000
NC_036838.1	12458001	12459000
NC_036838.1	12520001	12521000
NC_036838.1	12573001	12574000
NC_036838.1	12811001	12812000
NC_036838.1	12954001	12955000
NC_036838.1	13309001	13310000
NC_036838.1	13310001	13311000
NC_036838.1	13484001	13485000
NC_036838.1	13515001	13516000
NC_036838.1	13633001	13634000
NC_036838.1	13656001	13657000
NC_036838.1	13664001	13665000
NC_036838.1	13877001	13878000
NC_036838.1	13896001	13897000
NC_036838.1	14037001	14038000
NC_036838.1	14188001	14189000
NC_036838.1	14634001	14635000
NC_036838.1	14800001	14801000
NC_036838.1	14803001	14804000
NC_036838.1	1482001	1483000
NC_036838.1	15213001	15214000
NC_036838.1	15217001	15218000
NC_036838.1	15416001	15417000
NC_036838.1	1546001	1547000
NC_036838.1	15475001	15476000
NC_036838.1	15556001	15557000
NC_036838.1	15713001	15714000
NC_036838.1	15786001	15787000
NC_036838.1	15796001	15797000
NC_036838.1	15815001	15816000
NC_036838.1	15816001	15817000
NC_036838.1	15836001	15837000
NC_036838.1	15897001	15898000
NC_036838.1	15967001	15968000
NC_036838.1	15968001	15969000
NC_036838.1	16062001	16063000
NC_036838.1	1628001	1629000
NC_036838.1	16426001	16427000
NC_036838.1	16498001	16499000
NC_036838.1	16664001	16665000
NC_036838.1	16884001	16885000
NC_036838.1	17417001	17418000
NC_036838.1	17483001	17484000
NC_036838.1	17813001	17814000
NC_036838.1	17904001	17905000
NC_036838.1	17992001	17993000
NC_036838.1	18044001	18045000
NC_036838.1	18046001	18047000
NC_036838.1	18078001	18079000
NC_036838.1	18095001	18096000
NC_036838.1	18148001	18149000
NC_036838.1	18184001	18185000
NC_036838.1	18251001	18252000
NC_036838.1	18287001	18288000
NC_036838.1	18332001	18333000
NC_036838.1	18347001	18348000
NC_036838.1	18352001	18353000
NC_036838.1	18490001	18491000
NC_036838.1	18505001	18506000
NC_036838.1	18507001	18508000
NC_036838.1	18703001	18704000
NC_036838.1	18735001	18736000
NC_036838.1	18923001	18924000
NC_036838.1	19066001	19067000
NC_036838.1	19157001	19158000
NC_036838.1	19179001	19180000
NC_036838.1	19214001	19215000
NC_036838.1	19239001	19240000
NC_036838.1	19414001	19415000
NC_036838.1	1942001	1943000
NC_036838.1	19607001	19608000
NC_036838.1	19736001	19737000
NC_036838.1	19800001	19801000
NC_036838.1	19932001	19933000
NC_036838.1	19993001	19994000
NC_036838.1	19998001	19999000
NC_036838.1	20059001	20060000
NC_036838.1	20191001	20192000
NC_036838.1	20221001	20222000
NC_036838.1	20289001	20290000
NC_036838.1	20320001	20321000
NC_036838.1	20694001	20695000
NC_036838.1	20867001	20868000
NC_036838.1	21054001	21055000
NC_036838.1	21067001	21068000
NC_036838.1	21150001	21151000
NC_036838.1	21205001	21206000
NC_036838.1	21217001	21218000
NC_036838.1	21263001	21264000
NC_036838.1	21529001	21530000
NC_036838.1	2164001	2165000
NC_036838.1	21686001	21687000
NC_036838.1	21700001	21701000
NC_036838.1	21903001	21904000
NC_036838.1	21972001	21973000
NC_036838.1	2200001	2201000
NC_036838.1	22128001	22129000
NC_036838.1	22295001	22296000
NC_036838.1	22563001	22564000
NC_036838.1	22601001	22602000
NC_036838.1	22631001	22632000
NC_036838.1	22763001	22764000
NC_036838.1	22785001	22786000
NC_036838.1	22786001	22787000
NC_036838.1	22790001	22791000
NC_036838.1	2289001	2290000
NC_036838.1	2290001	2291000
NC_036838.1	23383001	23384000
NC_036838.1	23411001	23412000
NC_036838.1	2342001	2343000
NC_036838.1	23530001	23531000
NC_036838.1	23564001	23565000
NC_036838.1	2358001	2359000
NC_036838.1	23833001	23834000
NC_036838.1	24089001	24090000
NC_036838.1	24205001	24206000
NC_036838.1	24292001	24293000
NC_036838.1	24407001	24408000
NC_036838.1	24579001	24580000
NC_036838.1	24702001	24703000
NC_036838.1	24779001	24780000
NC_036838.1	24780001	24781000
NC_036838.1	24897001	24898000
NC_036838.1	24900001	24901000
NC_036838.1	25010001	25011000
NC_036838.1	2508001	2509000
NC_036838.1	2509001	2510000
NC_036838.1	25187001	25188000
NC_036838.1	25707001	25708000
NC_036838.1	25708001	25709000
NC_036838.1	25876001	25877000
NC_036838.1	25881001	25882000
NC_036838.1	25882001	25883000
NC_036838.1	25974001	25975000
NC_036838.1	26005001	26006000
NC_036838.1	26057001	26058000
NC_036838.1	26058001	26059000
NC_036838.1	26324001	26325000
NC_036838.1	26325001	26326000
NC_036838.1	2634001	2635000
NC_036838.1	26357001	26358000
NC_036838.1	26932001	26933000
NC_036838.1	2694001	2695000
NC_036838.1	27155001	27156000
NC_036838.1	27197001	27198000
NC_036838.1	27322001	27323000
NC_036838.1	27484001	27485000
NC_036838.1	27502001	27503000
NC_036838.1	27579001	27580000
NC_036838.1	27683001	27684000
NC_036838.1	27815001	27816000
NC_036838.1	27899001	27900000
NC_036838.1	27900001	27901000
NC_036838.1	28087001	28088000
NC_036838.1	28163001	28164000
NC_036838.1	28218001	28219000
NC_036838.1	28670001	28671000
NC_036838.1	28691001	28692000
NC_036838.1	28921001	28922000
NC_036838.1	28944001	28945000
NC_036838.1	28951001	28952000
NC_036838.1	29004001	29005000
NC_036838.1	29005001	29006000
NC_036838.1	29051001	29052000
NC_036838.1	29418001	29419000
NC_036838.1	29621001	29622000
NC_036838.1	29633001	29634000
NC_036838.1	29682001	29683000
NC_036838.1	29683001	29684000
NC_036838.1	2970001	2971000
NC_036838.1	29778001	29779000
NC_036838.1	30006001	30007000
NC_036838.1	30066001	30067000
NC_036838.1	30101001	30102000
NC_036838.1	30121001	30122000
NC_036838.1	30122001	30123000
NC_036838.1	30465001	30466000
NC_036838.1	30497001	30498000
NC_036838.1	30498001	30499000
NC_036838.1	30659001	30660000
NC_036838.1	30664001	30665000
NC_036838.1	3087001	3088000
NC_036838.1	31290001	31291000
NC_036838.1	31292001	31293000
NC_036838.1	31443001	31444000
NC_036838.1	31530001	31531000
NC_036838.1	31627001	31628000
NC_036838.1	31670001	31671000
NC_036838.1	31866001	31867000
NC_036838.1	32175001	32176000
NC_036838.1	32212001	32213000
NC_036838.1	32241001	32242000
NC_036838.1	32436001	32437000
NC_036838.1	325001	326000
NC_036838.1	326001	327000
NC_036838.1	32604001	32605000
NC_036838.1	32690001	32691000
NC_036838.1	32694001	32695000
NC_036838.1	32695001	32696000
NC_036838.1	32707001	32708000
NC_036838.1	32799001	32800000
NC_036838.1	33125001	33126000
NC_036838.1	33341001	33342000
NC_036838.1	33450001	33451000
NC_036838.1	33456001	33457000
NC_036838.1	33479001	33480000
NC_036838.1	33513001	33514000
NC_036838.1	33552001	33553000
NC_036838.1	33740001	33741000
NC_036838.1	33798001	33799000
NC_036838.1	33805001	33806000
NC_036838.1	33918001	33919000
NC_036838.1	33989001	33990000
NC_036838.1	34047001	34048000
NC_036838.1	34169001	34170000
NC_036838.1	34186001	34187000
NC_036838.1	34195001	34196000
NC_036838.1	34196001	34197000
NC_036838.1	34227001	34228000
NC_036838.1	34391001	34392000
NC_036838.1	34416001	34417000
NC_036838.1	34517001	34518000
NC_036838.1	34553001	34554000
NC_036838.1	34629001	34630000
NC_036838.1	34674001	34675000
