"Residue","Morph_pvalue","Timepoint_pvalue","Sex_pvalue","MorphXTimepoint_pvalue","MorphXSex_pvalue","TimepointXSex_pvalue"
"chr000861.1_522",0.136359109221306,0.00286231929975639,0.934389231972765,0.319352046590307,0.675876898872952,0.301281602606481
"chr000861.1_526",0.516389910048857,0.95791131600638,0.135356530707058,0.717302835412867,0.477363841561965,0.984357033924673
"chr000861.1_612",0.951973203548829,0.947518318009892,0.566648319725873,0.703644913802872,0.935295342006149,0.878414585395421
"chr000861.1_740",0.0153571536762505,0.00157293379067482,0.708790409684153,0.550702947679829,0.776773745684827,0.0520777113928393
"chr000861.1_747",0.910702210521243,0.6079187227884,0.580125973353366,0.411456342378958,0.3660236486105,0.107330375061188
"chr000861.1_749",0.782187413910266,0.189158642344026,0.310322773130524,0.11902984947343,0.129213680528037,0.524528811565809
"chr000861.1_751",0.957599576491346,0.541556605461779,0.92595556439532,0.300049308785834,0.597307165111637,0.691694209882695
"chr000861.1_777",0.639746138593517,0.328395701387289,0.835891622636046,0.861841297133031,0.775378726029534,0.247981727649571
"chr000861.1_956",0.351992635301461,0.507042036121677,0.77416090454897,0.520432081581834,0.244902311036901,0.57009387906794
"chr000861.1_982",0.532522487177683,0.0530221040347719,0.666484887510515,0.981883464351576,0.862633289814475,0.354031911941855
"chr000861.1_1004",0.190092529254074,0.0304498612484635,0.0548484816678169,0.705321130743139,0.0450611915110728,0.319631687996169
"chr000861.1_1125",0.574935262436674,0.714972959460287,0.480995105894975,0.992931629498046,0.943646126554887,0.607306775865579
"chr000861.1_1159",0.897926197243842,0.325692137752219,0.661352069919891,0.939550415535199,0.844889257165941,0.558785338497602
"chr000861.1_3427",0.0563372219712307,0.00493046173491426,0.119257466675097,0.833558715308381,0.601891987365294,0.0807730076444246
"chr000861.1_3428",0.0994073618263756,0.11175863640695,0.928621834583517,0.339131856872534,0.868959371785567,0.260770020583264
"chr000861.1_3430",0.780373272584674,0.482793429210307,0.520204362077406,0.0467627124714078,0.789131413220285,0.0398210615785201
"chr000861.1_3431",0.000631788902650075,0.15467550953426,0.483745430455786,0.0054093416950727,0.187536357204226,0.976084717821982
"chr000861.1_3434",0.0340969741049884,0.498432615393617,0.594126080745003,0.00147956581963935,0.340391342402013,0.197160472211675
"chr000861.1_3435",0.017678959999441,0.116108717709649,0.540392663220478,0.240678202465113,0.0107387083692131,0.0311266081325587
"chr000861.1_3437",0.234680287317995,0.0251906500107231,0.605785021335496,0.186133718756103,0.264200851552591,0.651513655171282
"chr000861.1_3438",0.000600791776688181,0.0219880786480346,0.908215121023914,0.0652964468276287,0.289388432585717,0.946662025290229
"chr000861.1_3444",0.173549400982768,0.116369293945809,0.850057958444104,0.272878309067634,0.366048092682931,0.25086182802551
"chr000861.1_3445",0.519460999372259,0.212680008091627,0.50851526083489,0.729803913911781,0.325561244350928,0.14884891214154
"chr000861.1_3449",0.576603621143602,0.90588427810193,0.85375542722688,0.939679180074153,0.474090357124992,0.183734354833307
"chr000861.1_3450",0.977742740765981,0.976428917375831,0.283669463465446,0.82227403274491,0.987837619508165,0.728776503502761
"chr000861.1_3471",0.388849875244208,0.85753438617393,0.194529149199682,0.259827583305898,0.504630958314512,0.700598209134755
"chr000861.1_3472",0.294690621322679,0.112792321441243,0.622273238994572,0.565623287783171,0.615309479378364,0.626009512337566
"chr000861.1_3496",0.990163492722654,0.527123844772466,0.944131172033293,0.769565599724273,0.38282084689532,0.845585082962593
"chr000861.1_3497",0.261936833231412,0.000525578560138426,0.0521676577613393,5.1132937788248e-06,0.885964991881377,0.0149475440527295
"chr000861.1_3499",0.408247652089841,0.275067192331286,0.682180533193788,0.355245309336471,0.406264232822151,0.126938477157197
"chr000861.1_3500",0.753837068583984,0.655646636037922,0.862197756192124,0.118530421461719,0.246145572137564,0.349855612232144
"chr000861.1_3511",0.0812229084661281,0.236262597557127,0.0559193677944031,0.00416801486501286,2.27070873555983e-05,0.949725384338011
"chr000861.1_3512",0.892664972433264,0.91544642276789,0.592545573662603,0.0641107400304733,0.11152575668223,0.255703461518894
"chr000861.1_3517",0.999991022800653,0.137784449838021,0.000695113235566399,0.143528543611672,0.12556791269388,0.108192998689337
"chr000861.1_3518",0.103913106141379,0.0980887483519559,0.668511495689567,0.000125722193790891,0.0249986044750039,0.423450751730728
"chr000861.1_3550",0.981162329242815,0.946461876305436,0.454378685951092,0.12074397373349,0.149155678516857,0.833635887375963
"chr000861.1_3551",0.798491858634329,0.084199002951128,0.0456273919119964,0.565894280703501,0.500493642408401,0.0593508518481653
"chr000861.1_3564",0.435993428512372,0.601721743055467,0.807105263524684,0.856480496569886,0.865653357456029,0.704122686351421
"chr000861.1_3565",0.307009658489825,0.752940623452407,0.678028180433215,0.282183494502089,0.599234717213605,0.602858050730031
"chr000861.1_3575",0.00810876117299762,0.639013314983586,0.00740721356183948,0.00234477855522519,0.000795065805016418,0.00880309144905876
"chr000861.1_3576",0.0564666714855633,0.822054378410792,0.16648697921897,0.968696420053445,0.558484234543291,0.771496327398949
"chr000861.1_3589",0.670095821261627,0.966633962952297,0.287730956860823,0.0723044406995685,0.95947133460664,0.489948648607794
"chr000861.1_3590",0.320074773598845,0.331571058574746,0.757092601190865,0.0058287788641867,0.545951747760823,0.608101330098797
"chr000861.1_3607",0.463843769241765,0.264474690511392,0.210266347866107,0.143907387733417,0.869060176715878,0.118522764127593
"chr000861.1_3608",0.391501744151574,0.034920861514056,0.304865208407226,0.970960346912663,0.420682307875639,0.618953235438173
"chr000861.1_3784",0.284213740479953,0.0492624867104327,0.492083744475403,0.235436021826422,0.000768153667754106,0.0136603669510677
"chr000861.1_6338",0.145470260383943,0.205158958595851,0.473802604855782,0.709599985562845,0.350286925671392,0.423301572743415
"chr000861.1_6339",0.0824426341649359,0.190565384563563,0.303287067110082,0.407629673516211,0.0719541328862854,0.877096405048675
"chr000861.1_6378",0.293787235797959,0.8019085928128,0.0462962429261073,0.00246561329805464,0.00117300176370328,4.35540754536054e-05
"chr000861.1_6379",0.865092763267119,0.157797860379563,0.0971157069916265,0.282015598105169,0.584559871363405,0.201699554008704
